Bee name,Bee family,Diet breadth,Reference
Ancylandrena atoposoma,Andrenidae,specialist,Fowler 2020b
Ancylandrena koebelei,Andrenidae,specialist,Fowler 2020b
Ancylandrena larreae,Andrenidae,specialist,Fowler 2020b
Ancylandrena rozeni,Andrenidae,specialist,Fowler 2020b
Ancylandrena timberlakei,Andrenidae,unknown,
Andrena accepta,Andrenidae,generalist,
Andrena aliciae,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena alleghaniensis,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018; Wood et al. 2018
Andrena amphibola,Andrenidae,generalist,Sheffield et al. 2014
Andrena andrenoides,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena anisochlora,Andrenidae,unknown,
Andrena anograe,Andrenidae,generalist,
Andrena arabis,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena arenicola,Andrenidae,specialist,Fowler 2020a
Andrena asteris,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena asteroides,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena astragali,Andrenidae,generalist,
Andrena atypica,Andrenidae,unknown,
Andrena auricoma,Andrenidae,unknown,
Andrena banksi,Andrenidae,generalist,Larkin et al. 2008
Andrena barbilabris,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018;  Wood & Roberts 2017; Wood et al. 2018; Chambers 1968; Bogusch et al. 2020; Westrich 2018
Andrena beameri,Andrenidae,specialist,Fowler 2020a
Andrena bisalicis,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena blennospermatis,Andrenidae,specialist,Fowler 2020b
Andrena braccata,Andrenidae,specialist,Fowler and Droege 2020
Andrena bradleyi,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena bruneri,Andrenidae,unknown,
Andrena bucculenta,Andrenidae,specialist,Fowler 2020b
Andrena caerulea,Andrenidae,specialist,Fowler 2020b
Andrena caliginosa,Andrenidae,specialist,Fowler 2020b
Andrena canadensis,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena carlini,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018; Larkin et al. 2008; Schrader & LaBerge 1978; Gibbs et al. 2017; Wood et al. 2018
Andrena carolina,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena ceanothi,Andrenidae,generalist,Wood & Roberts 2018; LaBerge 1973; Goldstein & Ascher 2016; Gibbs et al. 2017; Wood et al. 2018
Andrena cerasifolii,Andrenidae,unknown,
Andrena cerebrata,Andrenidae,unknown,
Andrena chalybaea,Andrenidae,specialist,Fowler 2020b
Andrena cheyennorum,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Andrena chlorosoma,Andrenidae,specialist,Fowler 2020b
Andrena chromotricha,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena clarkella,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena commoda,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018; Wood et al. 2018
Andrena crataegi,Andrenidae,generalist,Wood & Roberts 2018; Wood et al. 2018; Franzen & Larsson 2007
Andrena crawfordi,Andrenidae,specialist,Fowler 2020a
Andrena cressonii,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018; Larkin et al. 2008; Gibbs et al. 2017; Wood et al. 2018
Andrena cruciferarum,Andrenidae,unknown,
Andrena cuneilabris,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Andrena dimorpha,Andrenidae,unknown,
Andrena distans,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena dolomellea,Andrenidae,generalist,Larkin et al. 2008
Andrena duboisi,Andrenidae,specialist,Fowler 2020b
Andrena dunningi,Andrenidae,generalist,Sheffield et al. 2014; Johnson 1984; Gibbs et al. 2017; Wood et al. 2018
Andrena duplicata,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena erigeniae,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena erythrogaster,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena erythronii,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena faceta,Andrenidae,generalist,Larkin et al. 2008
Andrena fenningeri,Andrenidae,unknown,
Andrena forbesii,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018; Wood et al. 2018
Andrena fragilis,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena frigida,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena fulgida,Andrenidae,unknown,
Andrena gardineri,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena geranii,Andrenidae,generalist,
Andrena hallii,Andrenidae,specialist,Parker & Tepedino 1982
Andrena helianthi,Andrenidae,generalist,
Andrena helianthiformis,Andrenidae,generalist,
Andrena heraclei,Andrenidae,unknown,
Andrena hippotes,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018; Wood et al. 2018
Andrena hirticincta,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena ilicis,Andrenidae,unknown,
Andrena illinoiensis,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena imitatrix,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018; Wood et al. 2018
Andrena integra,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena isocomae,Andrenidae,specialist,Fowler 2020b
Andrena kaibabensis,Andrenidae,unknown,
Andrena kalmiae,Andrenidae,specialist,Fowler and Droege 2020
Andrena krigiana,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena kristina,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Andrena lamelliterga,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena lativentris,Andrenidae,specialist,Fowler 2020b
Andrena lauracea,Andrenidae,unknown,
Andrena lawrencei,Andrenidae,generalist,Sheffield et al. 2014
Andrena linsleyana,Andrenidae,specialist,Fowler 2020b
Andrena macoupinensis,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena mandibularis,Andrenidae,generalist,Wood & Roberts 2018; Gibbs et al. 2017; Wood et al. 2018
Andrena mariae,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena medionitens,Andrenidae,generalist,Sheffield et al. 2014
Andrena melanochroa,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena mellea,Andrenidae,generalist,Larkin et al. 2008
Andrena mendica,Andrenidae,unknown,
Andrena milwaukeensis,Andrenidae,generalist,Sheffield et al. 2014
Andrena miranda,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018; Larkin et al. 2008; Wood et al. 2018
Andrena miserabilis,Andrenidae,generalist,Wood & Roberts 2018; Larkin et al. 2008; Wood et al. 2018
Andrena monilicornis,Andrenidae,unknown,
Andrena morrisonella,Andrenidae,unknown,
Andrena nasonii,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018; Wood et al. 2018
Andrena nida,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena nigrae,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena nigricula,Andrenidae,unknown,
Andrena nigrihirta,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018; LaBerge & Ribble 1975; Gibbs et al. 2017
Andrena nigripes,Andrenidae,specialist,Fowler 2020b
Andrena nigrocaerulea,Andrenidae,unknown,
Andrena nigroclypeata,Andrenidae,unknown,
Andrena nivalis,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018; Larkin et al. 2008; Cane et al. 1985; Wood et al. 2018
Andrena nothoscordi,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena nubecula,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena nuda,Andrenidae,generalist,Wood & Roberts 2018
Andrena pallidiscopa,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Andrena parnassiae,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena peckhami,Andrenidae,unknown,
Andrena pecosana,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Andrena perimelas,Andrenidae,unknown,
Andrena perplexa,Andrenidae,generalist,Wood & Roberts 2018; Larkin et al. 2008
Andrena persimulata,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena personata,Andrenidae,specialist,Ribble 1968; Gibbs et al. 2017
Andrena pertristis,Andrenidae,unknown,
Andrena phaceliae,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena piperi,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Andrena placata,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena platyparia,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena plebeia,Andrenidae,unknown,
Andrena polemonii,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena primulifrons,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Andrena principalis,Andrenidae,specialist,Fowler 2020b
Andrena pruni,Andrenidae,generalist,Wood et al. 2018
Andrena prunorum,Andrenidae,generalist,Sheffield et al. 2014
Andrena pulverea,Andrenidae,generalist,
Andrena puthua,Andrenidae,specialist,Fowler 2020b
Andrena quintilis,Andrenidae,specialist,Sheffield et al. 2014
Andrena ramaleyi,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Andrena regularis,Andrenidae,generalist,Sheffield et al. 2014
Andrena rehni,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena robertsonii,Andrenidae,generalist,Wood & Roberts 2018
Andrena rubi,Andrenidae,unknown,
Andrena rudbeckiae,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena rufosignata,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018
Andrena rugosa,Andrenidae,generalist,Wood & Roberts 2018
Andrena sagittagalea,Andrenidae,specialist,Larkin et al. 2008
Andrena salictaria,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena sayi,Andrenidae,unknown,
Andrena scurra,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Andrena sigmundi,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena simplex,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Andrena sitiliae,Andrenidae,specialist,Fowler 2020a
Andrena sola,Andrenidae,unknown,
Andrena sphaeralceae,Andrenidae,specialist,Fowler 2020b
Andrena spiraeana,Andrenidae,generalist,Wood & Roberts 2018; Linsley 1958
Andrena suavis,Andrenidae,specialist,Fowler 2020b
Andrena subchalybea,Andrenidae,specialist,Fowler 2020b
Andrena surda,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Andrena tegularis,Andrenidae,specialist,Fowler 2020b
Andrena thaspii,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018
Andrena torulosa,Andrenidae,specialist,Fowler 2020b
Andrena transnigra,Andrenidae,generalist,Sheffield et al. 2014
Andrena trapezoidea,Andrenidae,specialist,Fowler 2020a
Andrena trevoris,Andrenidae,unknown,
Andrena tridens,Andrenidae,specialist,LaBerge 1980; Gibbs et al. 2017
Andrena unicostata,Andrenidae,unknown,
Andrena utahensis,Andrenidae,specialist,Fowler 2020b
Andrena vicina,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018
Andrena vicinoides,Andrenidae,generalist,Sheffield et al. 2014; Larkin et al. 2008
Andrena violae,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena virginiana,Andrenidae,generalist,Wood & Roberts 2018; LaBerge 1973; Gibbs et al. 2017
Andrena w-scripta,Andrenidae,generalist,Sheffield et al. 2014; Wood & Roberts 2018
Andrena walleyi,Andrenidae,unknown,
Andrena wellesleyana,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena wheeleri,Andrenidae,generalist,Sheffield et al. 2014
Andrena wilmattae,Andrenidae,specialist,Wood et al. 2018; Sheffield et al. 2014
Andrena zionensis,Andrenidae,unknown,
Andrena ziziae,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Andrena ziziaeformis,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Calliopsis andreniformis,Andrenidae,specialist,Sheffield et al. 2014; Shinn 1967; Gibbs et al. 2017
Calliopsis coloradensis,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Calliopsis empelia,Andrenidae,specialist,Fowler 2020b
Calliopsis hesperia,Andrenidae,specialist,Fowler 2020b
Calliopsis hondurasica,Andrenidae,specialist,Heithaus 1979
Calliopsis macswaini,Andrenidae,specialist,Fowler 2020b
Calliopsis micheneri,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Calliopsis nebraskensis,Andrenidae,specialist,Fowler and Droege 2020; Fowler 2020a
Calliopsis obscurella,Andrenidae,specialist,Fowler 2020b
Calliopsis philiphunteri,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Calliopsis puellae,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Calliopsis rhodophila,Andrenidae,specialist,Fowler 2020b
Calliopsis scutellaris,Andrenidae,unknown,
Calliopsis sonora,Andrenidae,unknown,
Calliopsis subalpina,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Calliopsis verbenae,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Calliopsis zebrata,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Calliopsis zonalis,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Macrotera arcuata,Andrenidae,specialist,Fowler 2020b
Macrotera carinata,Andrenidae,unknown,
Macrotera echinocacti,Andrenidae,unknown,
Macrotera latior,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Macrotera lobata,Andrenidae,unknown,
Macrotera magniceps,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Macrotera mellea,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Macrotera mortuaria,Andrenidae,unknown,
Macrotera opacella,Andrenidae,unknown,
Macrotera opuntiae,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Macrotera portalis,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Macrotera texana,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
Megandrena enceliae,Andrenidae,specialist,Fowler 2020b
Mesoxaea rufescens,Andrenidae,unknown,
Panurginus cressoniellus,Andrenidae,specialist,Fowler 2020b
Panurginus emarginatus,Andrenidae,unknown,
Panurginus gracilis,Andrenidae,unknown,
Panurginus nigrellus,Andrenidae,unknown,
Panurginus nigrihirtus,Andrenidae,specialist,Fowler 2020a; Fowler 2020b
