providedName,finalName,geo_informed
Protandrena asclepiadis,Protandrena mexicanorum,FALSE
Andrena illinoensis bicolor,Andrena nigrae,FALSE
Andrena pyrrhacita coloradensis,Andrena perarmata,FALSE
Augochlorella striata,Augochlorella aurata,FALSE
Epeolus sarothrinus var. confluens,Triepeolus sarothrinus,FALSE
Halictus gulosus punctiferus,Lasioglossum cinctipes,FALSE
Hoplitis hurdiana,Ashmeadiella hurdiana,FALSE
Lasioglossum nymphaerum,Lasioglossum oceanicum,FALSE
Nomadopsis anthidius lutea,Calliopsis anthidius,FALSE
Osmia aprilina atrovirens,Osmia cyanella,FALSE
Panurginus albitarsis var. fortior,Pseudopanurgus innuptus,FALSE
Panurginus pauper flavotinctus,Pseudopanurgus flavotinctus,FALSE
Perdita miricornis leucorhina,Perdita wilmattae,FALSE
Prosopis asinina,Hylaeus asininus,FALSE
Prosopis citrinifrons,Hylaeus modestus,FALSE
Prosopis coquilletti,Hylaeus episcopalis,FALSE
Prosopis fossata Metz,Hylaeus schwarzii,FALSE
Prosopis pennsylvanica,Hylaeus modestus,FALSE
Prosopis tridens,Hylaeus verticalis,FALSE
Prosopis tridentulus,Hylaeus verticalis,FALSE
Pseudopanurgus abdominalis abdominalis,Protandrena abdominalis,FALSE
Xenoglossa spriuna,Peponapis pruinosa,FALSE
Ashmeadiella astragali,Ashmeadiella aridula,FALSE
Halictus bruneri,Lasioglossum bruneri,FALSE
Halictus lusorius,Lasioglossum lusorium,FALSE
Lasioglossum argaeum,Lasioglossum argaeus,FALSE
Augochlora sumptuosa bolliana,Augochloropsis sumptuosa,FALSE
Perdita pallidipennis indianensis,Perdita bequaerti,FALSE
Prosopis georgica var. leana,Hylaeus georgicus,FALSE
Protandrena piercei albertensis,Pseudopanurgus piercei,FALSE
Synhalonia edwardsii angustior,Eucera edwardsii,FALSE
Tetralonia hamata Bradley,Eucera hamata,FALSE
Andrena nigrifrons,Andrena platyparia,FALSE
Halictus armaticeps,Halictus ligatus,FALSE
Psithyrus fernaldae,Bombus fernaldae,FALSE
Pterandrena oniscicolor,Andrena oniscicolor,FALSE
Calliopsis sonorana,Calliopsis sonora,FALSE
Diadasia nitidicincta,Diadasia tropicalis,FALSE
Exomalopsis globosa,Exomalopsis similis,FALSE
Melecta fulvida,Melecta pacifica,FALSE
Protandrena nebrascensis muesebecki,Pseudopanurgus aestivalis,FALSE
Protoxaea texana,Mesoxaea texana,FALSE
Triepeolus alachuensis,Triepeolus rufithorax,FALSE
Triepeolus bardus,Triepeolus distinctus,FALSE
Triepeolus heterurus,Triepeolus utahensis,FALSE
Agapostemon radiatus,Agapostemon sericeus,FALSE
Andrena interrogationis,Andrena carlini,FALSE
Andrena truncata,Andrena chromotricha,FALSE
Anthidium atriventre,Anthidium atrifrons,FALSE
Anthidium cognatum,Anthidium maculifrons,FALSE
Anthophora carbonaria,Anthophora pacifica,FALSE
Anthophora smithii,Anthophora montana,FALSE
Halictus albitarsis,Lasioglossum disparile,FALSE
Halictus divergens,Lasioglossum macoupinense,FALSE
Halictus gracilis,Lasioglossum foxii,FALSE
Halictus occidentalis,Halictus parallelus,FALSE
Lasioglossum mitchelli,Lasioglossum hitchensi,FALSE
Megachile studiosa,Megachile exilis,FALSE
Nomada excellens,Nomada hemphilli,FALSE
Nomia punctata,Nomia foxii,FALSE
Osmia albohirta,Osmia sandhouseae,FALSE
Osmia cognata,Osmia simillima,FALSE
Osmia grandior,Osmia longula,FALSE
Osmia purpurea,Osmia caerulescens,FALSE
Perdita dilecta,Perdita labergei,FALSE
Prosopis rudbeckiae,Hylaeus rudbeckiae,FALSE
Megachile diligens,Megachile dentitarsus,FALSE
Triepeolus digueti,Triepeolus intrepidus,FALSE
Coelioxys alternata,Coelioxys alternatus,FALSE
Coelioxys bisoncornua,Coelioxys bisoncornuus,FALSE
Coelioxys floridana,Coelioxys floridanus,FALSE
Coelioxys funeraria,Coelioxys funerarius,FALSE
Coelioxys germana,Coelioxys germanus,FALSE
Coelioxys hirsutissima,Coelioxys hirsutissimus,FALSE
Coelioxys immaculata,Coelioxys immaculatus,FALSE
Coelioxys mexicana,Coelioxys mexicanus,FALSE
Coelioxys modesta,Coelioxys modestus,FALSE
Coelioxys moesta,Coelioxys moestus,FALSE
Coelioxys novomexicana,Coelioxys novomexicanus,FALSE
Coelioxys salinaria,Coelioxys salinarius,FALSE
Coelioxys scitula,Coelioxys scitulus,FALSE
Coelioxys serricaudata,Coelioxys serricaudatus,FALSE
Dioxys aurifusca,Dioxys aurifuscus,FALSE
Dioxys pacifica,Dioxys pacificus,FALSE
Dioxys producta,Dioxys productus,FALSE
Epeoloides pilosula,Epeoloides pilosulus,FALSE
Habropoda citula,Habropoda citulus,FALSE
Heriades carinatus,Heriades carinata,FALSE
Heriades crucifer,Heriades crucifera,FALSE
Heriades texanus,Heriades texana,FALSE
Heriades variolosus,Heriades variolosa,FALSE
Lasioglossum allonotum,Lasioglossum allonotus,FALSE
Lasioglossum cyaneonotum,Lasioglossum cyaneonotus,FALSE
Lasioglossum halophitum,Lasioglossum halophitus,FALSE
Lasioglossum heterognathum,Lasioglossum heterognathus,FALSE
Lasioglossum heterorhinum,Lasioglossum heterorhinus,FALSE
Lasioglossum leucocomum,Lasioglossum leucocomus,FALSE
Lasioglossum lionotum,Lasioglossum lionotus,FALSE
Lasioglossum megastictum,Lasioglossum megastictus,FALSE
Lasioglossum perichlarum,Lasioglossum perichlarus,FALSE
Lasioglossum zephyrum,Lasioglossum zephyrus,FALSE
Melissodes ablusa,Melissodes ablusus,FALSE
Melissodes apicata,Melissodes apicatus,FALSE
Melissodes appressa,Melissodes appressus,FALSE
Melissodes bicolorata,Melissodes bicoloratus,FALSE
Melissodes blanda,Melissodes blandus,FALSE
Melissodes cerussata,Melissodes cerussatus,FALSE
Melissodes composita,Melissodes compositus,FALSE
Melissodes confusa,Melissodes confusus,FALSE
Melissodes dagosa,Melissodes dagosus,FALSE
Melissodes denticulata,Melissodes denticulatus,FALSE
Melissodes desponsa,Melissodes desponsus,FALSE
Melissodes druriella,Melissodes druriellus,FALSE
Melissodes expolita,Melissodes expolitus,FALSE
Melissodes fasciatella,Melissodes fasciatellus,FALSE
Melissodes fimbriata,Melissodes fimbriatus,FALSE
Melissodes fumosa,Melissodes fumosus,FALSE
Melissodes gelida,Melissodes gelidus,FALSE
Melissodes illata,Melissodes illatus,FALSE
Melissodes intorta,Melissodes intortus,FALSE
Melissodes lustra,Melissodes lustrus,FALSE
Melissodes lutulenta,Melissodes lutulentus,FALSE
Melissodes maesta,Melissodes maestus,FALSE
Melissodes melanura,Melissodes melanurus,FALSE
Melissodes metenuus,Melissodes metenua,FALSE
Melissodes microsticta,Melissodes microstictus,FALSE
Melissodes minuscula,Melissodes minusculus,FALSE
Melissodes montana,Melissodes montanus,FALSE
Melissodes nivea,Melissodes niveus,FALSE
Melissodes opuntiella,Melissodes opuntiellus,FALSE
Melissodes pallidisignata,Melissodes pallidisignatus,FALSE
Melissodes paulula,Melissodes paululus,FALSE
Melissodes perlusa,Melissodes perlusus,FALSE
Melissodes perpolita,Melissodes perpolitus,FALSE
Melissodes personatella,Melissodes personatellus,FALSE
Melissodes pilleata,Melissodes pilleatus,FALSE
Melissodes plumosa,Melissodes plumosus,FALSE
Melissodes pullatella,Melissodes pullatellus,FALSE
Melissodes semilupina,Melissodes semilupinus,FALSE
Melissodes subillata,Melissodes subillatus,FALSE
