providedName,finalName
Agapostemon californicus,Agapostemon texanus
Agapostemon nasutus,Agapostemon nasutus
Agapostemon radiatus,Agapostemon sericeus
Agapostemon sericeus,Agapostemon sericeus
Agapostemon sulcatulus,Agapostemon sericeus
Agapostemon texanus,Agapostemon texanus
Agapostemon tyleri,Agapostemon tyleri
Agapostemon virescens,Agapostemon virescens
Andrena alleghaniensis,Andrena alleghaniensis
Andrena angustitarsata,Andrena angustitarsata
Andrena arabis,Andrena arabis
Andrena arizonensis,Andrena prunorum
Andrena ashmeadi,Andrena gardineri
Andrena atypica,Andrena atypica
Andrena auricoma,Andrena auricoma
Andrena balsamorhizae,Andrena balsamorhizae
Andrena bernardina,Andrena bernardina
Andrena beulahensis,Andrena chromotricha
Andrena braccata,Andrena braccata
Andrena candidiformis,Andrena candidiformis
Andrena chromotricha,Andrena chromotricha
Andrena clypeonitens,Andrena chromotricha
Andrena cristata,Andrena cristata
Andrena cuneilabris,Andrena cuneilabris
Andrena cyanophila,Andrena cyanophila
Andrena daeckei,Andrena daeckei
Andrena eothina,Andrena eothina
Andrena fenn imitatrix,Andrena fenningeri
Andrena fenningeri,Andrena fenningeri
Andrena fragilis,Andrena fragilis
Andrena fulvipennis,Andrena fulvipennis
Andrena gardineri,Andrena gardineri
Andrena hicksi,Andrena hicksi
Andrena hilaris,Andrena hilaris
Andrena ishii,Andrena ishii
Andrena kincaidii,Andrena prunorum
Andrena layiae,Andrena layiae
Andrena linsleyi,Andrena linsleyi
Andrena mandibularis,Andrena mandibularis
Andrena monoensis,Andrena monoensis
Andrena navajorum,Andrena chromotricha
Andrena nigrocaerulea,Andrena nigrocaerulea
Andrena obscuripennis,Andrena obscuripennis
Andrena opacissima,Andrena angustitarsata
Andrena orthocarpi,Andrena orthocarpi
Andrena pascoensis,Andrena prunorum
Andrena pensilis,Andrena pensilis
Andrena placata,Andrena placata
Andrena prunorum,Andrena prunorum
Andrena ramaleyi,Andrena ramaleyi
Andrena recta,Andrena chromotricha
Andrena rehni,Andrena rehni
Andrena sagittagalea,Andrena sagittagalea
Andrena sayi,Andrena sayi
Andrena seattlensis,Andrena nigrocaerulea
Andrena seminigra,Andrena subtilis
Andrena seviensis,Andrena sayi
Andrena subaustralis,Andrena subaustralis
Andrena subtilis,Andrena subtilis
Andrena tacitula grossulariae,Andrena cyanophila
Andrena truncata,Andrena chromotricha
Andrena verna,Andrena fenningeri
Andrena votula,Andrena rehni
Andrena zionensis,Andrena zionensis
Anthidium angelarum,Anthidium collectum
Anthidium collectum,Anthidium collectum
Anthidium depressum,Anthidium edwardsii
Anthidium edwardsii,Anthidium edwardsii
Anthidium illustre,Anthidium illustre
Anthidium parvum,Dianthidium parvum
Anthophora abrupta,Anthophora abrupta
Anthophora dammersi,Anthophora dammersi
Anthophora neglecta,Anthophora neglecta
Augochlora bracteata,Augochlorella bracteata
Augochlorella bracteata,Augochlorella bracteata
Augochloropsis sericeus,Agapostemon sericeus
Bombus affinis,Bombus affinis
Bombus caliginosus,Bombus caliginosus
Bombus citrinus,Bombus citrinus
Bombus crotchii,Bombus crotchii
Bombus nigrocinctus,Bombus crotchii
Bombus vosnesenskii,Bombus vosnesenskii
Calliopsis clypeatus,Panurginus cressoniellus
Calliopsis pauper,Pseudopanurgus pauper
Ceratina strenua,Ceratina strenua
Ceratina tejonensis,Ceratina tejonensis
Coelioxys deani,Coelioxys deani
Coelioxys galactiae,Coelioxys galactiae
Coelioxys mitchelli,Coelioxys mitchelli
Coelioxys modesta,Coelioxys modestus
Coelioxys modestus,Coelioxys modestus
Colletes productus,Colletes productus
Colletes thysanellae,Colletes thysanellae
Dialictus tamiamensis,Lasioglossum tamiamense
Dianthidium parvum,Dianthidium parvum
Dufourea dentipes,Dufourea dentipes
Dufourea fimbriata,Dufourea fimbriata
Dufourea malacothricis,Dufourea malacothricis
Epeolus howardi,Epeolus howardi
Eucera edwardsii,Eucera edwardsii
Exomalopsis globosa,Exomalopsis similis
Habropoda cineraria,Habropoda cineraria
Habropoda laboriosa,Habropoda laboriosa
Halictus admirandus,Lasioglossum admirandum
Halictus albipennis,Lasioglossum albipenne
Halictus albohirtus,Lasioglossum albohirtum
Halictus basilicus,Lasioglossum albipenne
Halictus catalinensis,Halictus tripartitus
Halictus incompletus,Lasioglossum incompletum
Halictus lactineus,Lasioglossum albipenne
Halictus nigrescens,Lasioglossum nigrescens
Halictus nubilis,Lasioglossum albipenne
Halictus sedi,Lasioglossum sedi
Halictus tripartitus,Halictus tripartitus
Halictus viridatus,Lasioglossum viridatum
Hoplitis elongaticeps,Hoplitis elongaticeps
Hoplitis sambuci,Hoplitis sambuci
Hylaeus floridanus,Hylaeus floridanus
Lasioglossum  albohirtum,Lasioglossum albohirtum
Lasioglossum  incompletum,Lasioglossum incompletum
Lasioglossum  nigrescens,Lasioglossum nigrescens
Lasioglossum admirandum,Lasioglossum admirandum
Lasioglossum albipenne,Lasioglossum albipenne
Lasioglossum albohirtum,Lasioglossum albohirtum
Lasioglossum aquilae,Lasioglossum aquilae
Lasioglossum clematisellum,Lasioglossum clematisellum
Lasioglossum coriaceum,Lasioglossum coriaceum
Lasioglossum creberrimum,Lasioglossum creberrimum
Lasioglossum Dialictus albipenne,Lasioglossum albipenne
Lasioglossum Dialictus sedi,Lasioglossum sedi
Lasioglossum incompletum,Lasioglossum incompletum
Lasioglossum miniatulum,Lasioglossum miniatulum
Lasioglossum nigrescens,Lasioglossum nigrescens
Lasioglossum oblongum,Lasioglossum oblongum
Lasioglossum pilosellum,Lasioglossum albohirtum
Lasioglossum puteulanum,Lasioglossum puteulanum
Lasioglossum sedi,Lasioglossum sedi
Lasioglossum tamiamense,Lasioglossum tamiamense
Lasioglossum viridatum,Lasioglossum viridatum
Macropis steironematis,Macropis steironematis
Martinapis luteicornis,Martinapis luteicornis
Megachile toscata,Megachile toscata
Megachile wheeleri,Megachile wheeleri
Megachile xylocopoides,Megachile xylocopoides
Melissodes brevipyga,Melissodes brevipyga
Melissodes desponsa,Melissodes desponsus
Melissodes desponsus,Melissodes desponsus
Melissodes lupina,Melissodes lupinus
Melissodes lupinus,Melissodes lupinus
Melissodes lustra,Melissodes lustrus
Melissodes luteicornis,Martinapis luteicornis
Nomada carolinae,Nomada ovata
Nomada cornelliana,Nomada perplexa
Nomada dentariae,Nomada dentariae
Nomada illinoensis,Nomada illinoensis
Nomada ovata,Nomada ovata
Nomada ovata perplexa,Nomada ovata
Nomada parva,Nomada parva
Nomada pascoensis,Nomada pascoensis
Nomada perplexa,Nomada perplexa
Nomia californica peninsularis,Nomia melanderi
Nomia melanderi,Nomia melanderi
Osmia  bruneri,Osmia bruneri
Osmia albohirta,Osmia sandhouseae
Osmia albolateralis,Osmia albolateralis
Osmia basilissa,Osmia cobaltina
Osmia bruneri,Osmia bruneri
Osmia chalybea,Osmia chalybea
Osmia cobaltina,Osmia cobaltina
Osmia conjuncta,Osmia conjuncta
Osmia dubia,Osmia albolateralis
Osmia florissanticola,Osmia integra
Osmia georgica,Osmia georgica
Osmia granulosa,Osmia granulosa
Osmia holochlora,Osmia bruneri
Osmia inspergens,Osmia inspergens
Osmia integra,Osmia integra
Osmia louisianae,Osmia georgica
Osmia novomexicana,Osmia integra
Osmia potentillae,Osmia potentillae
Osmia sandhouseae,Osmia sandhouseae
Osmia visenda,Osmia albolateralis
Osmia zephyros,Osmia zephyros
Panurginus atramontensis,Panurginus atramontensis
Panurginus cressoniellus,Panurginus cressoniellus
Panurginus nigrihirtus,Panurginus nigrihirtus
Panurgus fimbriatus,Dufourea fimbriata
Perdita fallugiae,Perdita fallugiae
Perdita gerardiae,Perdita gerardiae
Perdita melanochlora,Perdita melanochlora
Protandrena pauper,Pseudopanurgus pauper
Pseudopanurgus pauper,Pseudopanurgus pauper
Pterandrena nudiscopa,Andrena angustitarsata
Sphecodes levis,Sphecodes levis
Stelis laticincta,Stelis laticincta
Stelis montana,Stelis montana
Synhalonia edwardsii angustior,Eucera edwardsii
Trachusa fontemvitae,Trachusa fontemvitae
Triepeolus grindeliae,Triepeolus grindeliae
Xenoglossa angustior,Xenoglossa angustior
Xylocopa texana,Xylocopa virginica
Xylocopa virginica,Xylocopa virginica
Agapanthinus callophilus,Agapanthinus callophilus
Agapostemon angelicus,Agapostemon angelicus
Agapostemon cockerelli,Agapostemon obliquus
Agapostemon coloradensis,Agapostemon coloradinus
Agapostemon coloradinus,Agapostemon coloradinus
Agapostemon fasciatus,Agapostemon melliventris
Agapostemon femoratus,Agapostemon femoratus
