bee,family,genus,species
Actenosigynes_mantiqueirensis,Loasaceae,Blumenbachia,Blumenbachia amana
Afranthidium_alternans,Asteraceae,NA,NA
Afranthidium_alternans,Asteraceae,NA,NA
Afranthidium_carduele,Asteraceae,NA,NA
Afranthidium_concolor,Asteraceae,NA,NA
Afranthidium_pusillum,Asteraceae,NA,NA
Afranthidium_pusillum,Asteraceae,NA,NA
Afranthidium_schulthessi,Asteraceae,NA,NA
Afranthidium_tergoangulatum,Zygophyllaceae,Augea,Augea capensis
Afroheriades_gemina,Asteraceae,Dimorphotheca,Dimorphotheca pluvialis
Afroheriades_gemina,Asteraceae,Osteospermum,Osteospermum clandestinum
Afroheriades_gemina,Asteraceae,Didelta,Didelta carnosa
Afroheriades_gemina,Asteraceae,Ursinia,NA
Afroheriades_gemina,Asteraceae,Chrysanthemoides,NA
Afroheriades_gemina,Asteraceae,Arctotis,NA
Afroheriades_gemina,Aizoaceae,NA,NA
Afroheriades_prima,Asteraceae,Rhynchopsidium,Rhynchopsidium pumilum
Afroheriades_prima,Asteraceae,Pteronia,Pteronia incana
Afroheriades_prima,Asteraceae,Chrysocoma,Chrysocoma ciliata
Afroheriades_prima,Asteraceae,Helichrysum,Helichrysum stellatum
Afroheriades_prima,Asteraceae,Amellus,Amellus microglossus
Afroheriades_prima,Asteraceae,Dimorphotheca,Dimorphotheca pluvialis
Afroheriades_prima,Asteraceae,Osteospermum,Osteospermum clandestinum
Afroheriades_prima,Asteraceae,Didelta,Didelta carnosa
Afroheriades_prima,Asteraceae,Senecio,NA
Afroheriades_prima,Asteraceae,Felicia,NA
Afroheriades_prima,Asteraceae,Oedera,NA
Afroheriades_prima,Asteraceae,Euryops,NA
Afroheriades_prima,Asteraceae,Rosenia,NA
Afroheriades_prima,Asteraceae,Leysera,NA
Afroheriades_prima,Asteraceae,Ursinia,NA
Afroheriades_prima,Asteraceae,Chrysanthemoides,NA
Afroheriades_prima,Asteraceae,Arctotis,NA
Agapostemon_melliventris,Cucurbitaceae,Cucurbita,Cucurbita foetidissima
Agapostemon_melliventris,Solanaceae,Datura,NA
Allodape_ceratinoides,Aizoaceae,Malephora,Malephora purpureocrocea
Allodape_ceratinoides,Oxalidaceae,NA,NA
Alloscirtetica_gilva,Cactaceae,Opuntia,Opuntia monacantha
Alloscirtetica_gilva,Cactaceae,Opuntia,Opuntia viridirubra
Amegilla_chlorocyanea,Orchidaceae,Thelymitra,NA
Amegilla_florea,Balsaminaceae,Impatiens,Impatiens textori
Amegilla_friese,Lamiaceae,Leucas,Leucas zeylanica
Amegilla_friese,Verbenaceae,Stachytarpheta,Stachytarpheta dichotoma
Amegilla_niveata,Asteraceae,Dimorphotheca,Dimorphotheca pluvialis
Amegilla_niveata,Asteraceae,Osteospermum,Osteospermum clandestinum
Amegilla_niveata,Asteraceae,Didelta,Didelta carnosa
Amegilla_niveata,Asteraceae,Ursinia,NA
Amegilla_niveata,Asteraceae,Chrysanthemoides,NA
Amegilla_niveata,Asteraceae,Arctotis,NA
Amegilla_niveata,Oxalidaceae,NA,NA
Amegilla_niveata,Zygophyllaceae,NA,NA
Amegilla_niveocincta,Lamiaceae,Leucas,Leucas zeylanica
Amegilla_niveocincta,Pedaliaceae,Sesamum,Sesamum radiatum
Amegilla_obscuriceps,Asphodelaceae,Trachyandra,NA
Amegilla_puttalama,Lamiaceae,Leucas,Leucas zeylanica
Amegilla_puttalama,Verbenaceae,Stachytarpheta,Stachytarpheta dichotoma
Amegilla_quadrifasciata,Boraginaceae,Anchusa,Anchusa officinalis
Amegilla_quadrifasciata,Lamiaceae,Ballota,Ballota nigra
Amegilla_quadrifasciata,Asteraceae,Centaurea,Centaurea stoebe
Amegilla_quadrifasciata,Asteraceae,Cirsium,Cirsium vulgare
Amegilla_quadrifasciata,Boraginaceae,Echium,Echium vulgare
Amegilla_quadrifasciata,Fabaceae,Ononis,Ononis spinosa
Amegilla_quadrifasciata,Fabaceae,Vicia,Vicia cracca
Amegilla_scintillans,Acanthaceae,Asystasia,Asystasia gangetica
Amegilla_scintillans,Acanthaceae,Justicia,Justicia colorifera
Amegilla_scintillans,Verbenaceae,Lantana,Lantana camara
Amegilla_scintillans,Verbenaceae,Stachytarpheta,Stachytarpheta indica
Amegilla_zonata,Lamiaceae,Ocimum,Ocimum basilicum
Ancylandrena_atoposoma,Fabaceae,Lupinus,NA
Ancylandrena_koebelei,Fabaceae,Dalea,NA
Ancylandrena_larreae,Zygophyllaceae,Larrea,Larrea tridentata
Ancylandrena_rozeni,Fabaceae,Coursetia,NA
Ancyloscelis_apiformis,Convolvulaceae,Merremia,Merremia dissecta
Ancyloscelis_apiformis,Convolvulaceae,Bonamia,Bonamia ferruginea
Ancyloscelis_apiformis,Malpighiaceae,Malpighia,Malpighia glabra
Ancyloscelis_apiformis,Malpighiaceae,Byrsonima,Byrsonima crispa
Ancyloscelis_apiformis,Fabaceae,Senna,Senna alata
Ancyloscelis_apiformis,Melastomataceae,Miconia,Miconia poeppigii
Ancyloscelis_apiformis,Convolvulaceae,Ipomoea,NA
Ancyloscelis_gigas,Pontederiaceae,Eichhornia,Eichhornia azurea
Ancyloscelis_gigas,Pontederiaceae,Pontederia,NA
Ancyloscelis_romeroi,Cactaceae,Opuntia,Opuntia monacantha
Ancyloscelis_romeroi,Cactaceae,Opuntia,Opuntia viridirubra
Ancyloscelis_romeroi,Cactaceae,Parodia,Parodia sellowii
Ancyloscelis_romeroi,Cactaceae,Gymnocalycium,Gymnocalycium denudatum
Ancyloscelis_romeroi,Convolvulaceae,Convolvulus,NA
Ancyloscelis_sejunctus,Convolvulaceae,Ipomoea,NA
Ancyloscelis_turmalis,Pontederiaceae,Eichhornia,NA
Ancyloscelis_turmalis,Pontederiaceae,Pontederia,NA
Ancyloscelis_ursinus,Pontederiaceae,Eichhornia,NA
Ancyloscelis_ursinus,Pontederiaceae,Pontederia,NA
Ancyloscelis_wheeleri,Convolvulaceae,NA,NA
Andrena_aberrans,Fabaceae,Chamaecytisus,Chamaecytisus purpureus
Andrena_aberrans,Fabaceae,Chamaecytisus,Chamaecytisus ratisbonensis
Andrena_ablegata,Asteraceae,Agoseris,NA
Andrena_accepta,Asteraceae,Helianthus,NA
Andrena_accepta,Asteraceae,Grindelia,NA
Andrena_accepta,Asteraceae,Silphium,NA
Andrena_accepta,Asteraceae,Solidago,NA
Andrena_accepta,Fabaceae,NA,NA
Andrena_afimbriata,Asteraceae,Berlandiera,NA
Andrena_afimbriata,Asteraceae,Pyrrhopappus,NA
Andrena_afimbriata,Asteraceae,NA,NA
Andrena_agilissima,Brassicaceae,Raphanus,Raphanus raphanistrum
Andrena_agilissima,Brassicaceae,Sinapis,Sinapis arvensis
Andrena_agilissima,Boraginaceae,Borago,Borago officinalis
Andrena_agilissima,Brassicaceae,Sinapis,Sinapis alba
Andrena_agilissima,Brassicaceae,Sinapis,Sinapis arvensis
Andrena_agilissima,Brassicaceae,Barbarea,Barbarea vulgaris
Andrena_agilissima,Brassicaceae,Brassica,Brassica rapa
Andrena_agilissima,Brassicaceae,Raphanus,Raphanus raphanistrum
Andrena_agoseridis,Asteraceae,Agoseris,NA
Andrena_alamonis,Brassicaceae,Lesquerella,NA
Andrena_alfkenella,Apiaceae,Angelica,Angelica sylvestris
Andrena_alfkenella,Boraginaceae,Borago,Borago officinalis
Andrena_alfkenella,Brassicaceae,Brassica,Brassica rapa
Andrena_alfkenella,Brassicaceae,Cardamine,Cardamine pratensis
Andrena_alfkenella,Brassicaceae,Cardaria,Cardaria draba
Andrena_alfkenella,Apiaceae,Daucus,Daucus carota
Andrena_alfkenella,Apiaceae,Falcaria,Falcaria vulgaris
Andrena_alfkenella,Rosaceae,Fragaria,Fragaria vesca
Andrena_alfkenella,Apiaceae,Pastinaca,Pastinaca sativa
Andrena_alfkenella,Rosaceae,Potentilla,Potentilla neumanniana
Andrena_alfkenella,Brassicaceae,Sinapis,Sinapis arvensis
Andrena_alfkenella,Brassicaceae,Thlaspi,Thlaspi arvense
Andrena_alfkenella,Plantaginaceae,Veronica,Veronica chamaedrys
Andrena_algida,Salicaceae,Salix,NA
Andrena_aliciae,Asteraceae,Helianthus,NA
Andrena_aliciae,Asteraceae,Bidens,NA
Andrena_aliciae,Asteraceae,Rudbeckia,NA
Andrena_aliciae,Asteraceae,Silphium,NA
Andrena_aliciae,Asteraceae,Solidago,NA
Andrena_aliciae,Asteraceae,Symphyotrichum,NA
Andrena_aliciae,Asteraceae,Helianthus,NA
Andrena_aliciarum,Asteraceae,Hymenothrix,NA
Andrena_aliciarum,Asteraceae,Pectis,NA
Andrena_alleghaniensis,Rosaceae,NA,NA
Andrena_alleghaniensis,Adoxaceae,NA,NA
Andrena_alleghaniensis,Brassicaceae,NA,NA
Andrena_alleghaniensis,Salicaceae,NA,NA
Andrena_alleghaniensis,Apiaceae,NA,NA
Andrena_alutacea,Apiaceae,NA,NA
Andrena_anatolis,Onagraceae,Camissonia,NA
Andrena_andrenoides,Salicaceae,Salix,NA
Andrena_angustior,Rosaceae,Fragaria,Fragaria x ananassa
Andrena_angustior,Asparagaceae,Hyacinthoides,Hyacinthoides
Andrena_angustior,Aquifoliaceae,Ilex,Ilex aquifolium
Andrena_angustior,Boraginaceae,Borago,Borago officinalis
Andrena_angustior,Ranunculaceae,Ranunculus,Ranunculus acris
Andrena_angustior,Caryophyllaceae,Stellaria,Stellaria holostea
Andrena_angustior,Plantaginaceae,Veronica,Veronica chamaedrys
Andrena_angustior,Campanulaceae,Campanula,NA
Andrena_angustior,Amaryllidaceae,Narcissus,NA
Andrena_angustitarsata,Rosaceae,NA,NA
Andrena_angustitarsata,Apiaceae,NA,NA
Andrena_annectens,Salicaceae,Salix,NA
Andrena_anograe,Onagraceae,Oenothera,NA
Andrena_anograe,Cactaceae,Opuntia,NA
Andrena_anthrisci,Apiaceae,Anthriscus,Anthriscus sylvestris
Andrena_anthrisci,Plantaginaceae,Veronica,Veronica chamaedrys
Andrena_apacheorum,Asteraceae,Cirsium,NA
Andrena_apacheorum,Asteraceae,Ericameria,NA
Andrena_apacheorum,Asteraceae,Erigeron,NA
Andrena_apacheorum,Asteraceae,Solidago,NA
Andrena_apasta,Onagraceae,Camissonia,NA
Andrena_apicata,Salicaceae,Salix,Salix alba
Andrena_apicata,Salicaceae,Salix,Salix aurita
