old_bee_name,diet_breadth,diet_breadth_detailed,scientificName
Andrena accepta,specialist,family_specialist,Andrena accepta
Andrena aliciae,specialist,family_specialist,Andrena aliciae
Andrena andrenoides,specialist,genus_specialist,Andrena andrenoides
Andrena arabis,specialist,genus_specialist,Andrena arabis
Andrena asteris,specialist,genus_specialist,Andrena asteris
Andrena asteroides,specialist,genus_specialist,Andrena asteroides
Andrena bisalicis,specialist,genus_specialist,Andrena bisalicis
Andrena braccata,specialist,genus_specialist,Andrena braccata
Andrena bradleyi,specialist,family_specialist,Andrena bradleyi
Andrena canadensis,specialist,family_specialist,Andrena canadensis
Andrena carolina,specialist,family_specialist,Andrena carolina
Andrena chromotricha,specialist,family_specialist,Andrena chromotricha
Andrena clarkella,specialist,genus_specialist,Andrena clarkella
Andrena cornelli,specialist,genus_specialist,Andrena cornelli
Andrena distans,specialist,genus_specialist,Andrena distans
Andrena duplicata,specialist,family_specialist,Andrena duplicata
Andrena erigeniae,specialist,genus_specialist,Andrena erigeniae
Andrena erythrogaster,specialist,genus_specialist,Andrena erythrogaster
Andrena erythronii,specialist,genus_specialist,Andrena erythronii
Andrena fragilis,specialist,genus_specialist,Andrena fragilis
Andrena frigida,specialist,genus_specialist,Andrena frigida
Andrena fulvipennis,specialist,genus_specialist,Andrena fulvipennis
Andrena gardineri,specialist,genus_specialist,Andrena gardineri
Andrena geranii,specialist,genus_specialist,Andrena geranii
Andrena helianthi,specialist,genus_specialist,Andrena helianthi
Andrena illinoiensis,specialist,genus_specialist,Andrena illinoiensis
Andrena integra,specialist,genus_specialist,Andrena integra
Andrena kalmiae,specialist,family_specialist,Andrena kalmiae
Andrena krigiana,specialist,family_specialist,Andrena krigiana
Andrena lamelliterga,specialist,genus_specialist,Andrena lamelliterga
Andrena macoupinensis,specialist,genus_specialist,Andrena macoupinensis
Andrena mariae,specialist,genus_specialist,Andrena mariae
Andrena nida,specialist,genus_specialist,Andrena nida
Andrena nigrae,specialist,genus_specialist,Andrena nigrae
Andrena nothoscordi,specialist,genus_specialist,Andrena nothoscordi
Andrena nubecula,specialist,genus_specialist,Andrena nubecula
Andrena parnassiae,specialist,genus_specialist,Andrena parnassiae
Andrena persimulata,specialist,genus_specialist,Andrena persimulata
Andrena phaceliae,specialist,genus_specialist,Andrena phaceliae
Andrena placata,specialist,family_specialist,Andrena placata
Andrena platyparia,specialist,genus_specialist,Andrena platyparia
Andrena polemonii,specialist,genus_specialist,Andrena polemonii
Andrena rehni,specialist,genus_specialist,Andrena rehni
Andrena rudbeckiae,specialist,genus_specialist,Andrena rudbeckiae
Andrena salictaria,specialist,genus_specialist,Andrena salictaria
Andrena sigmundi,specialist,genus_specialist,Andrena sigmundi
Andrena simplex,specialist,genus_specialist,Andrena simplex
Andrena uvulariae,specialist,genus_specialist,Andrena uvulariae
Andrena violae,specialist,genus_specialist,Andrena violae
Andrena wellesleyana,specialist,genus_specialist,Andrena wellesleyana
Andrena ziziae,specialist,genus_specialist,Andrena ziziae
Andrena ziziaeformis,specialist,genus_specialist,Andrena ziziaeformis
Calliopsis nebraskensis,specialist,genus_specialist,Calliopsis nebraskensis
Panurginus atramontensis,specialist,genus_specialist,Panurginus atramontensis
Panurginus potentillae,specialist,genus_specialist,Panurginus potentillae
Perdita albipennis,specialist,family_specialist,Perdita albipennis
Perdita bequaerti,specialist,family_specialist,Perdita bequaerti
Perdita bishoppi,specialist,genus_specialist,Perdita bishoppi
Perdita blatchleyi,specialist,genus_specialist,Perdita blatchleyi
Perdita boltoniae,specialist,genus_specialist,Perdita boltoniae
Perdita consobrina,specialist,family_specialist,Perdita consobrina
Perdita discreta,specialist,family_specialist,Perdita discreta
Perdita floridensis,specialist,genus_specialist,Perdita floridensis
Perdita foveata,specialist,family_specialist,Perdita foveata
Perdita georgica,specialist,genus_specialist,Perdita georgica
Perdita gerardiae,specialist,genus_specialist,Perdita gerardiae
Perdita gerhardi,specialist,genus_specialist,Perdita gerhardi
Perdita graenicheri,specialist,genus_specialist,Perdita graenicheri
Perdita halictoides,specialist,genus_specialist,Perdita halictoides
Perdita ignota,specialist,family_specialist,Perdita ignota
Perdita maculigera,specialist,genus_specialist,Perdita maculigera
Perdita novaeangliae,specialist,genus_specialist,Perdita novaeangliae
Perdita nubila,specialist,family_specialist,Perdita nubila
Perdita obscurata,generalist,generalist,NA
Perdita octomaculata,specialist,family_specialist,Perdita octomaculata
Perdita polygonellae,specialist,genus_specialist,Perdita polygonellae
Perdita swenki,specialist,family_specialist,Perdita swenki
Protandrena abdominalis,specialist,genus_specialist,Protandrena abdominalis
Pseudopanurgus aestivalis,specialist,family_specialist,Pseudopanurgus aestivalis
Pseudopanurgus albitarsis,specialist,family_specialist,Pseudopanurgus albitarsis
Pseudopanurgus andrenoides,specialist,family_specialist,Pseudopanurgus andrenoides
Pseudopanurgus compositarum,specialist,family_specialist,Pseudopanurgus compositarum
Pseudopanurgus illinoiensis,specialist,family_specialist,Pseudopanurgus illinoiensis
Pseudopanurgus labrosiformis,specialist,family_specialist,Pseudopanurgus labrosiformis
Pseudopanurgus labrosus,specialist,family_specialist,Pseudopanurgus labrosus
Pseudopanurgus passiflorae,specialist,genus_specialist,Pseudopanurgus passiflorae
Pseudopanurgus pauper,specialist,genus_specialist,Pseudopanurgus pauper
Pseudopanurgus rugosus,specialist,family_specialist,Pseudopanurgus rugosus
Pseudopanurgus solidaginis,specialist,family_specialist,Pseudopanurgus solidaginis
Pseudopanurgus virginicus,generalist,generalist,NA
Habropoda laboriosa,generalist,generalist,NA
Diadasia afflicta,specialist,family_specialist,Diadasia afflicta
Melitoma taurea,specialist,genus_specialist,Melitoma taurea
Ptilothrix bombiformis,specialist,genus_specialist,Ptilothrix bombiformis
Cemolobus ipomoeae,specialist,genus_specialist,Cemolobus ipomoeae
Florilegus condignus,generalist,generalist,Florilegus condignus
Melissodes agilis,specialist,family_specialist,Melissodes agilis
Melissodes apicatus,specialist,genus_specialist,Melissodes apicatus
Melissodes boltoniae,specialist,family_specialist,Melissodes boltoniae
Melissodes denticulatus,specialist,family_specialist,Melissodes denticulatus
Melissodes dentiventris,specialist,family_specialist,Melissodes dentiventris
Melissodes desponsus,specialist,family_specialist,Melissodes desponsus
Melissodes druriellus,specialist,family_specialist,Melissodes druriellus
Melissodes fimbriatus,specialist,genus_specialist,Melissodes fimbriatus
Melissodes fumosus,specialist,family_specialist,Melissodes fumosus
Melissodes illatus,specialist,family_specialist,Melissodes illatus
Melissodes manipularis,specialist,family_specialist,Melissodes manipularis
Melissodes mitchelli,specialist,genus_specialist,Melissodes mitchelli
Melissodes niveus,specialist,family_specialist,Melissodes niveus
Melissodes pilleatus,specialist,family_specialist,Melissodes pilleatus
Melissodes subillatus,specialist,family_specialist,Melissodes subillatus
Melissodes tinctus,specialist,family_specialist,Melissodes tinctus
Melissodes trinodis,specialist,family_specialist,Melissodes trinodis
Peponapis pruinosa,specialist,genus_specialist,Peponapis pruinosa
Svastra aegis,specialist,family_specialist,Svastra aegis
Svastra compta,specialist,genus_specialist,Svastra compta
Svastra obliqua,specialist,family_specialist,Svastra obliqua
Svastra petulca,specialist,family_specialist,Svastra petulca
Xenoglossa kansensis,generalist,generalist,NA
Xenoglossa strenua,specialist,genus_specialist,Xenoglossa strenua
Anthophorula asteris,specialist,genus_specialist,Anthophorula asteris
Anthophorula micheneri,specialist,genus_specialist,Anthophorula micheneri
Colletes aestivalis,specialist,genus_specialist,Colletes aestivalis
Colletes americanus,specialist,family_specialist,Colletes americanus
Colletes banksi,specialist,genus_specialist,Colletes banksi
Colletes brevicornis,specialist,genus_specialist,Colletes brevicornis
Colletes brimleyi,specialist,genus_specialist,Colletes brimleyi
Colletes ciliatus,specialist,genus_specialist,Colletes ciliatus
Colletes compactus,specialist,family_specialist,Colletes compactus
Colletes francesae,specialist,genus_specialist,Colletes francesae
Colletes howardi,specialist,genus_specialist,Colletes howardi
Colletes latitarsis,specialist,genus_specialist,Colletes latitarsis
Colletes solidaginis,specialist,genus_specialist,Colletes solidaginis
Colletes speculiferus,specialist,family_specialist,Colletes speculiferus
Colletes thysanellae,specialist,family_specialist,Colletes thysanellae
Colletes ultravalidus,specialist,family_specialist,Colletes ultravalidus
Colletes validus,specialist,family_specialist,Colletes validus
Colletes willistoni,specialist,genus_specialist,Colletes willistoni
Lasioglossum lustrans,specialist,genus_specialist,Lasioglossum lustrans
Lasioglossum oenotherae,specialist,genus_specialist,Lasioglossum oenotherae
Lasioglossum pectinatum,specialist,genus_specialist,Lasioglossum pectinatum
Dieunomia heteropoda,specialist,family_specialist,Dieunomia heteropoda
Dieunomia nevadensis,specialist,family_specialist,Dieunomia nevadensis
Dufourea monardae,specialist,genus_specialist,Dufourea monardae
Dufourea novaeangliae,specialist,genus_specialist,Dufourea novaeangliae
Lithurgopsis gibbosa,specialist,genus_specialist,Lithurgopsis gibbosa
Dianthidium curvatum,specialist,family_specialist,Dianthidium curvatum
Dianthidium simile,specialist,family_specialist,Dianthidium simile
Paranthidium jugatorium,specialist,family_specialist,Paranthidium jugatorium
