bee_genus,eigen1,eigen2,bee_family,Tetraloniella,Florilegus,Simanthedon,Ericrocis,Epeoloides,Leiopodus,Nomada,Hexepeolus,Biastes,Townsendiella,Neolarra,Brachynomada,Syntrichalonia,Triopasites,Paranomada,Epeolus,Triepeolus,Cemolobus,Holcopasites,Oreopasites,Zacosmia,Melecta,Anthophora,Habropoda,Trachusa,Paranthidium,Lithurgopsis,Anthidiellum,Dianthidium,Stelis,Anthidium,Megachile,Coelioxys,Chelostoma,Protosmia,Heriades,Hoplitis,Atoposmia,Ashmeadiella,Osmia,Dioxys,Hesperapis,Macropis,Melitta,Caupolicana,Zikanapis,Ptiloglossa,Eulonchopria,Colletes,Hylaeus,Dieunomia,Nomia,Pseudaugochlora,Agapostemon,Sphecodes,Micralictoides,Halictus,Lasioglossum,Augochloropsis,Augochlora,Augochlorella,Conanthalictus,Xeralictus,Protodufourea,Dufourea,Sphecodosoma,Protoxaea,Calliopsis,Mesoxaea,Panurginus,Perdita,Macrotera,Ancylandrena,Pseudopanurgus,Protandrena,Megandrena,Andrena,Plebeia,Bombus,Centris,Ceratina,Xylocopa,Ancyloscelis,Exomalopsis,Anthophorula,Brachymelecta,Melitoma,Ptilothrix,Diadasia,Melissoptila,Martinapis,Svastra,Melissodes,Gaesischia,Peponapis,Xenoglossa,Eucera
Tetraloniella,-0.14105890447329494,-0.05460688348592377,Apidae,0,0.06881171029810071,0.02441139583560989,0.38235170440370986,0.3383215890014214,0.4196870985688489,0.34718649486552633,0.30727189780231295,0.31961061439637994,0.3032348201731706,0.314862216426599,0.39861950793417733,0.024411395835609917,0.3904801000945224,0.4119399548400257,0.36066545176217685,0.3563376836225382,0.02441139583560986,0.35980704195977053,0.36055351761863863,0.35614676216383023,0.3487725965419787,0.32728758282543635,0.3111297126564747,0.39169720603177444,0.3941622208065866,0.024411395835609917,0.40541995289816263,0.40675116324493754,0.4020327396334506,0.41961629880745543,0.3984197967983014,0.4197367634429738,0.3637491372588003,0.41190036168215993,0.4092294340615299,0.41121629603907267,0.40221660826240063,0.4167606411442389,0.43441579755520543,0.40518364315240496,0.4227250702968707,0.36994800159292807,0.39260200665383416,0.4087379568501609,0.4229597552189051,0.43599717790099957,0.38922626874546895,0.43532145826883717,0.4286105953476598,0.42412710853015756,0.4341662329709327,0.024411395835609806,0.4552059634107578,0.44121853784532644,0.024411395835609806,0.4650491147771192,0.4715259718504531,0.4267117745552231,0.4560998643561388,0.4292238444843118,0.39321018693879445,0.35891969105031074,0.348850747201781,0.4478206261417813,0.3685723407687047,0.38460692892605597,0.40446129416629506,0.024411395835609806,0.4211263836741079,0.4815519756169286,0.48466075669318337,0.024411395835609806,0.44247675284516436,0.44820083099669805,0.3967625617452483,0.41403054351026025,0.35808205808911875,0.31130159963121484,0.27441921574406325,0.3796497589908612,0.3024231326517195,0.25789418006724907,0.27120420597227735,0.22928983924576546,0.024411395835609917,0.23421413996995183,0.24391225531864036,0.22957569095214914,0.08819305835897706,0.04630511112863829,0.046206679283429516,0.05558951805460027,0.024411395835609903,0.027182798753873454,0.028350704255332305,0.024411395835609903
Florilegus,-0.14662731286156858,-0.05664950526249916,Apidae,0.06881171029810071,0,0.03535499367643333,0.3932953022445333,0.34926518684224483,0.43063069640967233,0.35813009270634977,0.31821549564313634,0.3305542122372034,0.31417841801399404,0.32580581426742244,0.40956310577500077,0.035354993676433355,0.4014236979353458,0.42288355268084915,0.3716090496030003,0.36728128146336164,0.0353549936764333,0.370750639800594,0.37149711545946207,0.36709036000465367,0.3597161943828021,0.3382311806662598,0.32207331049729815,0.4026408038725979,0.40510581864741,0.035354993676433355,0.41636355073898607,0.417694761085761,0.41297633747427404,0.4305598966482789,0.40936339463912486,0.4306803612837972,0.37469273509962375,0.42284395952298337,0.42017303190235333,0.4221598938798961,0.41316020610322407,0.4277042389850623,0.44535939539602887,0.4161272409932284,0.43366866813769406,0.3808915994337515,0.4035456044946576,0.4196815546909844,0.4339033530597286,0.4469407757418231,0.40016986658629244,0.44626505610966066,0.4395541931884832,0.4350707063709811,0.4451098308117562,0.0353549936764333,0.4661495612515813,0.45216213568614994,0.0353549936764333,0.4759927126179427,0.48246956969127663,0.43765537239604657,0.4670434621969623,0.44016744232513527,0.40415378477961794,0.3698632888911342,0.35979434504260444,0.45876422398260486,0.3795159386095282,0.3955505267668794,0.4154048920071185,0.035354993676433244,0.4320699815149313,0.492495573457752,0.4956043545340068,0.035354993676433244,0.4534203506859878,0.4591444288375215,0.40770615958607176,0.4249741413510837,0.3690256559299422,0.3222451974720383,0.2853628135848867,0.3905933568316846,0.31336673049254293,0.2688377779080725,0.2821478038131008,0.2402334370865889,0.03535499367643333,0.24515773781077524,0.2548558531594638,0.24051928879297255,0.0991366561998005,0.0759923011064082,0.07589386926119943,0.0852767080323702,0.0664069904394504,0.06917839335771396,0.0703462988591728,0.0664069904394504
Simanthedon,0.0035047149138692007,-0.003102917259952026,Apidae,0.02441139583560989,0.03535499367643333,0,-0.03749333615490327,-0.08152345155719173,-1.579419897642098e-4,-0.025534488992315307,-0.06544908605552867,-0.05311036946146161,-0.06948616368467099,-0.0578587674312426,0.025898524076335708,-0.3483095880222317,0.017759116236680784,0.039218970982184104,-0.01205553209566472,-0.016383300235303377,-0.3483095880222317,-0.012913941898071088,-0.012167466239202979,-0.01657422169401135,-0.023948387315862928,0.019677151729613374,0.0035192815606517325,0.08408677493595149,0.08655178971076363,-0.28319903526021306,0.09780952180233968,0.09914073214911456,0.09442230853762762,0.11200586771163244,0.09080936570247851,0.11212633234715087,0.056138706162977406,0.10428993058633702,0.10161900296570696,0.10360586494324972,0.09460617716657772,0.10915021004841595,0.12680536645938248,0.09757321205658202,0.1151146392010477,0.06233757049710512,0.08499157555801123,0.10112752575433799,0.11534932412308221,0.12838674680517667,0.08161583764964606,0.12771102717301427,0.12100016425183685,0.11651667743433472,0.1265558018751098,-0.28319903526021306,0.14759553231493489,0.13360810674950355,-0.28319903526021306,0.15743868368129632,0.16391554075463025,0.11910134345940018,0.14848943326031594,0.12161341338848891,0.08559975584297158,0.05130925995448789,0.04124031610595812,0.1402101950459585,0.06096190967288186,0.0769964978302331,0.09685086307047219,-0.28319903526021306,0.11351595257828499,0.17394154452110572,0.1770503255973605,-0.28319903526021306,0.13486632174934152,0.14059039990087518,0.08915213064942543,0.10642011241443738,0.07091041603475245,0.024129957576848535,-0.01275242631030303,0.09247811693649488,0.015251490597353187,0.02601128426867913,0.039321310173707345,-0.002593056552804514,-0.18240366280312018,0.027399081331221736,0.03709719667991027,0.022760632313419057,0.040190501463842274,0.031591986643917394,0.03149355479870863,0.04087639356987939,0.0220066759769596,0.02477807889522315,0.025945984396682,0.0220066759769596
Ericrocis,-0.13494098978406754,-0.04803791491503407,Apidae,0.38235170440370986,0.3932953022445333,-0.03749333615490327,0,0.27641685701090823,0.35778236657833573,0.33240581957578463,0.2924912225125713,0.30482993910663836,0.28845414488342896,0.30008154113685737,0.3838388326444357,0.009630720545868277,0.37569942480478075,0.39715927955028407,0.3458847764724352,0.34155700833279656,0.009630720545868221,0.34502636667002884,0.345772842328897,0.34136608687408865,0.33399192125223703,0.37761746029771337,0.36145959012875173,0.44202708350405145,0.4444920982788636,0.07474127330788694,0.45574983037043965,0.45708104071721456,0.4523626171057276,0.46994617627973245,0.44874967427057844,0.4700666409152508,0.41407901473107733,0.46223023915443695,0.4595593115338069,0.4615461735113497,0.45254648573467765,0.4670905186165159,0.48474567502748245,0.455513520624682,0.47305494776914764,0.4202778790652051,0.4429318841261112,0.459067834322438,0.4732896326911822,0.4863270553732767,0.439556146217746,0.48565133574111424,0.4789404728199368,0.4744569860024347,0.4844961104432098,0.07474127330788688,0.5055358408830348,0.4915484153176035,0.07474127330788688,0.5153789922493963,0.5218558493227302,0.47704165202750015,0.5064297418284159,0.47955372195658885,0.4435400644110715,0.40924956852258776,0.399180624674058,0.49815050361405844,0.4189022182409818,0.434936806398333,0.4547911716385721,0.07474127330788682,0.4714562611463849,0.5318818530892057,0.5349906341654604,0.07474127330788682,0.4928066303174414,0.49853070846897507,0.44709243921752534,0.46436042098253727,0.4288507246028524,0.3820702661449485,0.3451878822577969,0.45041842550459477,0.3731917991654531,0.38395159283677904,0.3972616187418073,0.35534725201529543,0.17553664576497974,0.38533938989932165,0.3950375052480102,0.380700940881519,0.39813081003194223,0.3895322952120174,0.3894338633668086,0.3988167021379793,0.37994698454505954,0.3827183874633231,0.38388629296478194,0.37994698454505954
Epeoloides,-0.11830549421901507,-0.04266695684535167,Apidae,0.3383215890014214,0.34926518684224483,-0.08152345155719173,0.27641685701090823,0,0.23186724654800941,0.28837570417349623,0.24846110711028285,0.2607998237043499,0.2444240294811405,0.2560514257345689,0.33980871724214723,-0.034399394856420185,0.3316693094024923,0.3531291641479956,0.30185466107014675,0.2975268929305081,-0.03439939485642024,0.30099625126774043,0.30174272692660853,0.29733597147180013,0.2899618058499486,0.3335873448954249,0.31742947472646327,0.397996968101763,0.40046198287657514,0.030711157905598474,0.4117197149681512,0.4130509253149261,0.40833250170343915,0.42591606087744394,0.40471955886829,0.42603652551296234,0.37004889932878887,0.4182001237521485,0.4155291961315184,0.41751605810906123,0.4085163703323892,0.42306040321422744,0.440715559625194,0.4114834052223935,0.4290248323668592,0.3762477636629166,0.39890176872382277,0.41503771892014946,0.42925951728889367,0.4422969399709882,0.3955260308154575,0.4416212203388257,0.4349103574176483,0.43042687060014617,0.4404659950409213,0.03071115790559842,0.4615057254807464,0.44751829991531505,0.03071115790559842,0.4713488768471078,0.4778257339204417,0.4330115366252117,0.4623996264261274,0.4355236065543004,0.39950994900878306,0.36521945312029935,0.3551505092717696,0.4541203882117699,0.3748721028386933,0.3909066909960445,0.4107610562362837,0.030711157905598363,0.42742614574409643,0.48785173768691714,0.4909605187631719,0.030711157905598363,0.4487765149151529,0.4545005930666866,0.4030623238152369,0.42033030558024886,0.38482060920056393,0.33804015074266003,0.30115776685550844,0.40638831010230636,0.3291616837631647,0.33992147743449064,0.3532315033395188,0.311317136613007,0.13150653036269133,0.34130927449703324,0.3510073898457218,0.3366708254792306,0.3541006946296538,0.3455021798097289,0.3454037479645201,0.35478658673569086,0.33591686914277114,0.3386882720610347,0.33985617756249353,0.33591686914277114
Leiopodus,-0.1540314635267431,-0.05487166969554222,Apidae,0.4196870985688489,0.43063069640967233,-1.579419897642098e-4,0.35778236657833573,0.23186724654800941,0,0.3697412137409237,0.32982661667771035,0.34216533327177745,0.32578953904856806,0.33741693530199646,0.4211742268095748,0.04696611471100737,0.41303481896991984,0.43449467371542316,0.3832201706375743,0.37889240249793565,0.04696611471100731,0.38236176083516793,0.383108236494036,0.37870148103922774,0.3713273154173761,0.4149528544628524,0.39879498429389076,0.4793624776691905,0.48182749244400264,0.11207666747302597,0.4930852245355787,0.4944164348823536,0.48969801127086665,0.5072815704448714,0.48608506843571747,0.5074020350803898,0.45141440889621637,0.499565633319576,0.4968947056989459,0.4988815676764887,0.4898818798998167,0.5044259127816549,0.5220810691926214,0.492848914789821,0.5103903419342867,0.4576132732303441,0.48026727829125027,0.496403228487577,0.5106250268563213,0.5236624495384157,0.47689154038288506,0.5229867299062533,0.5162758669850759,0.5117923801675737,0.5218315046083488,0.11207666747302591,0.5428712350481739,0.5288838094827425,0.11207666747302597,0.5527143864145354,0.5591912434878692,0.5143770461926391,0.5437651359935549,0.5168891161217279,0.48087545857621056,0.44658496268772685,0.4365160188391971,0.5354858977791974,0.4562376124061208,0.472272200563472,0.49212656580371117,0.11207666747302586,0.5087916553115239,0.5692172472543446,0.5723260283305994,0.11207666747302591,0.5301420244825805,0.5358661026341142,0.4844278333826644,0.5016958151476764,0.4661861187679915,0.4194056603100876,0.382523276422936,0.48775381966973386,0.4105271933305922,0.42128698700191813,0.4345970129069464,0.3926826461804345,0.21287203993011883,0.42267478406446074,0.43237289941314927,0.4180363350466581,0.4354662041970813,0.4268676893771564,0.4267692575319476,0.43615209630311835,0.41728237871019863,0.4200537816284622,0.42122168712992103,0.41728237871019863
Nomada,-0.13674902282680904,-0.05125763973702477,Apidae,0.34718649486552633,0.35813009270634977,-0.025534488992315307,0.33240581957578463,0.28837570417349623,0.3697412137409237,0,0.19283213367565705,0.2051708502697241,0.1887950560465147,0.2004224522999431,0.2841797438075214,-0.09002836829104599,0.2760403359678665,0.2975001907133698,0.246225687635521,0.24189791949588235,-0.09002836829104599,0.24536727783311466,0.27346095746711907,0.290812910108964,0.2834387444871124,0.3424522507595298,0.32629438059056814,0.40686187396586787,0.40932688874068,0.03957606376970335,0.42058462083225606,0.421915831179031,0.41719740756754403,0.43478096674154887,0.41358446473239485,0.4349014313770672,0.37891380519289375,0.42706502961625337,0.42439410199562333,0.4263809639731661,0.41738127619649407,0.4319253090783323,0.44958046548929886,0.4203483110864984,0.4378897382309641,0.38511266952702156,0.4077666745879277,0.42390262478425444,0.43812442315299865,0.4511618458350931,0.4043909366795625,0.4504861262029307,0.4437752632817533,0.4392917764642511,0.44933090090502625,0.03957606376970335,0.47037063134485135,0.45638320577942,0.03957606376970335,0.48021378271121273,0.48669063978454663,0.4418764424893166,0.47126453229023235,0.4443885124184053,0.408374854872888,0.3740843589844043,0.36401541513587454,0.46298529407587485,0.38373700870279825,0.39977159686014946,0.4196259621003886,0.039576063769703296,0.43629105160820136,0.4967166435510221,0.49982542462727686,0.039576063769703296,0.45764142077925785,0.46336549893079154,0.4119272296793418,0.4291952114443538,0.39368551506466887,0.34690505660676496,0.31002267271961337,0.4152532159664113,0.3380265896272696,0.34878638329859557,0.36209640920362374,0.3201820424771119,0.1403714362267962,0.3501741803611381,0.35987229570982665,0.3455357313433355,0.3629656004937587,0.35436708567383385,0.35426865382862505,0.3636514925997958,0.344781775006876,0.34755317792513957,0.3487210834265984,0.344781775006876
Hexepeolus,-0.11998839938092307,-0.04555460007391281,Apidae,0.30727189780231295,0.31821549564313634,-0.06544908605552867,0.2924912225125713,0.24846110711028285,0.32982661667771035,0.19283213367565705,0,0.14444268993357529,0.1280668957103659,0.1396942919637943,0.2351604333540206,-0.13904767874454682,0.22702102551436565,0.24848088025986897,0.1972063771820201,0.19287860904238147,-0.13904767874454688,0.19634796737961377,0.23354636040390567,0.2508983130457506,0.24352414742389902,0.3025376536963164,0.28637978352735477,0.36694727690265455,0.3694122916774667,-3.385332935099683e-4,0.38067002376904274,0.38200123411581766,0.3772828105043307,0.39486636967833555,0.37366986766918153,0.3949868343138539,0.33899920812968043,0.38715043255304005,0.38447950493241,0.3864663669099528,0.37746667913328075,0.392010712015119,0.40966586842608554,0.3804337140232851,0.39797514116775073,0.3451980724638082,0.36785207752471427,0.383988027721041,0.3982098260897852,0.4112472487718797,0.36447633961634907,0.4105715291397173,0.4038606662185399,0.3993771794010377,0.4094163038418128,-3.385332935100793e-4,0.4304560342816379,0.41646860871620656,-3.385332935100793e-4,0.4402991856479993,0.4467760427213332,0.4019618454261032,0.4313499352270189,0.4044739153551919,0.36846025780967456,0.33416976192119086,0.3241008180726611,0.4230706970126614,0.3438224116395848,0.35985699979693614,0.3797113650371753,-3.385332935100238e-4,0.39637645454498804,0.45680204648780875,0.45991082756406354,-3.385332935100238e-4,0.4177268237160445,0.4234509018675782,0.3720126326161285,0.3892806143811405,0.35377091800145544,0.30699045954355153,0.2701080756564,0.37533861890319786,0.2981119925640562,0.30887178623538214,0.3221818121404104,0.28026744541389853,0.10045683916358283,0.31025958329792475,0.3199576986466133,0.3056211342801221,0.3230510034305453,0.3144524886106205,0.31435405676541167,0.3237368955365824,0.30486717794366264,0.3076385808619262,0.30880648636338504,0.30486717794366264
Biastes,-0.12634189162207848,-0.04788809899713515,Apidae,0.31961061439637994,0.3305542122372034,-0.05311036946146161,0.30482993910663836,0.2607998237043499,0.34216533327177745,0.2051708502697241,0.14444268993357529,0,0.10944016756877296,0.1361518065465367,0.24749914994808764,-0.12670896215047978,0.2393597421084327,0.260819596853936,0.2095450937760872,0.20521732563644854,-0.12670896215047983,0.20868668397368081,0.24588507699797274,0.26323702963981765,0.2558628640179661,0.31487637029038346,0.2987185001214218,0.3792859934967216,0.38175100827153374,0.012000183300557077,0.3930087403631098,0.3943399507098847,0.38962152709839776,0.4072050862724026,0.3860085842632486,0.40732555090792094,0.3513379247237475,0.3994891491471071,0.39681822152647706,0.39880508350401983,0.3898053957273478,0.40434942860918605,0.4220045850201526,0.3927724306173521,0.4103138577618178,0.3575367890578752,0.3801907941187813,0.39632674431510806,0.41054854268385227,0.4235859653659467,0.3768150562104161,0.42291024573378433,0.41619938281260693,0.4117158959951047,0.42175502043587987,0.012000183300556966,0.44279475087570497,0.4288073253102736,0.012000183300556966,0.45263790224206635,0.45911475931540024,0.41430056202017024,0.44368865182108597,0.41681263194925894,0.3807989744037416,0.3465084785152579,0.33643953466672816,0.43540941360672847,0.35616112823365187,0.3721957163910032,0.39205008163124233,0.012000183300557021,0.4087151711390551,0.4691407630818758,0.4722495441581306,0.012000183300557021,0.43006554031011157,0.43578961846164527,0.38435134921019554,0.4016193309752075,0.36610963459552254,0.31932917613761863,0.28244679225046704,0.38767733549726496,0.3104507091581233,0.3212105028294492,0.33452052873447746,0.2926061620079656,0.11279555575764993,0.32259829989199185,0.3322964152406804,0.3179598508741892,0.33538972002461237,0.3267912052046875,0.3266927733594787,0.33607561213064946,0.3172058945377297,0.31997729745599324,0.3211452029574521,0.3172058945377297
Townsendiella,-0.11858416325185497,-0.04511670079494844,Apidae,0.3032348201731706,0.31417841801399404,-0.06948616368467099,0.28845414488342896,0.2444240294811405,0.32578953904856806,0.1887950560465147,0.1280668957103659,0.10944016756877296,0,0.11977601232332731,0.23112335572487824,-0.14308475637368917,0.2229839478852233,0.24444380263072663,0.19316929955287782,0.18884153141323917,-0.1430847563736892,0.19231088975047145,0.22950928277476335,0.2468612354166083,0.2394870697947567,0.2985005760671741,0.2823427058982125,0.3629101992735122,0.36537521404832435,-0.004375610922652318,0.3766329461399004,0.3779641564866753,0.37324573287518836,0.39082929204919314,0.3696327900400392,0.39094975668471155,0.3349621305005381,0.3831133549238977,0.3804424273032676,0.38242928928081044,0.3734296015041384,0.38797363438597665,0.4056287907969432,0.3763966363941427,0.3939380635386084,0.34116099483466583,0.363814999895572,0.37995095009189866,0.3941727484606429,0.4072101711427374,0.3604392619872067,0.40653445151057493,0.3998235885893975,0.3953401017718954,0.40537922621267053,-0.004375610922652373,0.42641895665249563,0.41243153108706426,-0.004375610922652373,0.436262108018857,0.4427389650921909,0.3979247677969609,0.4273128575978766,0.4004368377260496,0.36442318018053227,0.33013268429204856,0.3200637404435188,0.41903361938351913,0.33978533401044253,0.3558199221677938,0.3756742874080329,-0.004375610922652373,0.3923393769158457,0.4527649688586664,0.4558737499349212,-0.004375610922652373,0.4136897460869022,0.4194138242384359,0.36797555498698614,0.3852435367519981,0.34973384037231314,0.30295338191440924,0.26607099802725764,0.37130154127405557,0.2940749149349139,0.30483470860623985,0.31814473451126807,0.2762303677847562,0.09641976153444054,0.30622250566878245,0.315920621017471,0.3015840566509798,0.31901392580140303,0.3104154109814781,0.3103169791362693,0.31969981790744006,0.30083010031452034,0.3036015032327839,0.30476940873424274,0.30083010031452034
