bee_genus,eigen1,eigen2,bee_family,Andrena,Megandrena,Ancylandrena,Calliopsis,Macrotera,Perdita,Panurginus,Protandrena,Mesoxaea,Protoxaea,Eulonchopria,Colletes,Hylaeus,Caupolicana,Ptiloglossa,Zikanapis,Agapostemon,Halictus,Lasioglossum,Sphecodes,Augochlora,Augochlorella,Augochloropsis,Pseudaugochlora,Dieunomia,Nomia,Dufourea,Sphecodosoma,Conanthalictus,Protodufourea,Xeralictus,Plebeia,Bombus,Centris,Melitoma,Ptilothrix,Diadasia,Exomalopsis,Anthophorula,Ancyloscelis,Svastra,Melissodes,Martinapis,Melissoptila,Eucera,Xenoglossa,Simanthedon,Florilegus,Gaesischia,Ceratina,Xylocopa,Anthophora,Habropoda,Ericrocis,Epeoloides,Leiopodus,Brachymelecta,Melecta,Zacosmia,Nomada,Biastes,Townsendiella,Neolarra,Hexepeolus,Holcopasites,Paranomada,Brachynomada,Triopasites,Triepeolus,Epeolus,Oreopasites,Coelioxys,Megachile,Heriades,Protosmia,Osmia,Ashmeadiella,Atoposmia,Hoplitis,Chelostoma,Anthidium,Anthidiellum,Dianthidium,Paranthidium,Stelis,Trachusa,Dioxys,Lithurgopsis,Hesperapis,Macropis,Melitta
Andrena,0.3271675254513034,0.07107834136243538,Andrenidae,0,0.7326235089307283,0.7326235089307283,1.2800349566828326,1.2800349566828326,1.2800349566828326,1.2800349566828326,1.2800349566828326,1.2800349566828328,1.2800349566828328,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531642,1.5711441124531642,1.571144112453164,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5971783911942723,1.597178391194272,1.597178391194272
Megandrena,0.3288335269970517,0.0714730915798895,Andrenidae,0.7326235089307283,0,0.6312547118149329,1.2800349566828326,1.2800349566828326,1.2800349566828326,1.2800349566828326,1.2800349566828326,1.2800349566828328,1.2800349566828328,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531642,1.5711441124531642,1.571144112453164,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5971783911942723,1.597178391194272,1.597178391194272
Ancylandrena,0.3288335269970511,0.07147309157989089,Andrenidae,0.7326235089307283,0.6312547118149329,0,1.2800349566828326,1.2800349566828326,1.2800349566828326,1.2800349566828326,1.2800349566828326,1.2800349566828328,1.2800349566828328,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531642,1.5711441124531642,1.571144112453164,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5971783911942723,1.597178391194272,1.597178391194272
Calliopsis,0.3547538360309751,0.07778122607082008,Andrenidae,1.2800349566828326,1.2800349566828326,1.2800349566828326,0,0.8977351814569949,0.8977351814569949,0.8977351814569949,0.8977351814569949,1.1440095072158856,1.1440095072158856,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531642,1.5711441124531642,1.571144112453164,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5971783911942723,1.597178391194272,1.597178391194272
Macrotera,0.3704123227109968,0.08153972680568536,Andrenidae,1.2800349566828326,1.2800349566828326,1.2800349566828326,0.8977351814569949,0,0.24512893307671565,0.749192718739701,0.803602738056793,1.1440095072158856,1.1440095072158856,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531642,1.5711441124531642,1.571144112453164,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5971783911942723,1.597178391194272,1.597178391194272
Perdita,0.370412322710996,0.08153972680568727,Andrenidae,1.2800349566828326,1.2800349566828326,1.2800349566828326,0.8977351814569949,0.24512893307671565,0,0.749192718739701,0.803602738056793,1.1440095072158856,1.1440095072158856,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531642,1.5711441124531642,1.571144112453164,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5971783911942723,1.597178391194272,1.597178391194272
Panurginus,0.363602933345595,0.07990551724005998,Andrenidae,1.2800349566828326,1.2800349566828326,1.2800349566828326,0.8977351814569949,0.749192718739701,0.749192718739701,0,0.803602738056793,1.1440095072158856,1.1440095072158856,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531642,1.5711441124531642,1.571144112453164,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5971783911942723,1.597178391194272,1.597178391194272
Protandrena,0.36130007717313467,0.07935269155260614,Andrenidae,1.2800349566828326,1.2800349566828326,1.2800349566828326,0.8977351814569949,0.803602738056793,0.803602738056793,0.803602738056793,0,1.1440095072158856,1.1440095072158856,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531642,1.5711441124531642,1.571144112453164,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5971783911942723,1.597178391194272,1.597178391194272
Mesoxaea,0.3437275820416172,0.07510491280719549,Andrenidae,1.2800349566828328,1.2800349566828328,1.2800349566828328,1.1440095072158856,1.1440095072158856,1.1440095072158856,1.1440095072158856,1.1440095072158856,0,0.12327344770595725,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531642,1.5711441124531642,1.571144112453164,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5971783911942723,1.597178391194272,1.597178391194272
Protoxaea,0.3437275820416172,0.07510491280719558,Andrenidae,1.2800349566828328,1.2800349566828328,1.2800349566828328,1.1440095072158856,1.1440095072158856,1.1440095072158856,1.1440095072158856,1.1440095072158856,0.12327344770595725,0,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170873,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170871,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.5230250408170876,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531642,1.5711441124531642,1.571144112453164,1.5711441124531638,1.5711441124531638,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.5711441124531638,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.571144112453164,1.5971783911942723,1.597178391194272,1.597178391194272
