scientificName,med_lat,med_long,n_chesshire,area_m2,area_ha,spherical_geometry,mean_doy,med_doy,quant10,quant90,flight_season
Agapanthinus callophilus,35.848,-116.226,3,4169877004.965988,416987.70049659885,TRUE,153,159,144.6,159,14.400000000000006
Agapostemon angelicus,35.594,-109.26,3265,9910958015606.637,991095801.5606637,TRUE,184.67346938775506,185,116,252,136
Agapostemon coloradinus,41.72,-104.967,109,1783836249093.0225,178383624.90930226,TRUE,213.2233009708738,191,163,282.2,119.19999999999999
Agapostemon femoratus,40.252,-114.734,1061,5762833596861.124,576283359.6861124,TRUE,197.16067864271454,197,140,252.89999999999998,112.89999999999998
Agapostemon melliventris,33.054,-110.938,1465,5244176882755.375,524417688.27553755,TRUE,197.68837209302328,200,98,288,190
Agapostemon nasutus,19.533,-97.516,385,4055425724548.0557,405542572.4548056,TRUE,196.9112903225806,201,75.1,313.90000000000003,238.80000000000004
Agapostemon obliquus,31.333,-109.257,527,6140399564757.757,614039956.4757757,TRUE,193.50602409638554,199.5,102,268,166
Agapostemon sericeus,41.212,-81.455,1431,6877058866340.174,687705886.6340175,TRUE,200.66841644794403,204,133,270,137
Agapostemon splendens,31.072,-81.389,2610,9727276162905.334,972727616.2905334,TRUE,209.89933993399342,211,113,313,200
Agapostemon texanus,38.227,-110.233,3631,12355187911164.365,1235518791.1164365,TRUE,197.58297872340427,198,115,276,161
Agapostemon tyleri,31.341,-109.14949999999999,304,2397662158115.822,239766215.81158218,TRUE,197.2235294117647,210,99,272,173
Agapostemon virescens,41.378,-77.264,5697,11192869280515.646,1119286928.0515647,TRUE,203.93278784336644,197,154,266,112
Ancylandrena atoposoma,34.1,-117.372,77,195898452920.39374,19589845.292039376,TRUE,128.72058823529412,132.5,107.7,148.3,40.60000000000001
Ancylandrena koebelei,36.308,-114.6,19,74271071004.70337,7427107.100470337,TRUE,121.47058823529412,123,95.2,140,44.8
Ancylandrena larreae,33.221,-114.051,215,826675528853.5287,82667552.88535288,TRUE,103.97894736842105,101.5,82.8,129.1,46.3
Ancylandrena rozeni,32.22,-110.926,9,14572525777.119308,1457252.577711931,TRUE,99.6,104,86,109,23
Ancylandrena timberlakei,34.3665,-114.7645,56,445314419987.324,44531441.9987324,TRUE,103.91489361702128,96,73.6,137.39999999999998,63.79999999999998
Ancyloscelis apiformis,20.875,-93.0625,170,2542862757955.6646,254286275.79556647,TRUE,209.88622754491018,218,88.6,307,218.4
Ancyloscelis sejunctus,29.424,-100.42349999999999,12,1308478855204.6636,130847885.52046636,TRUE,216.5,222,177.2,244.89999999999998,67.69999999999999
Andrena ablegata,42.0855,-111.781,56,846800552001.9504,84680055.20019504,TRUE,159.87755102040816,157,130.8,185.60000000000002,54.80000000000001
Andrena accepta,38.972,-99.52,254,6018384098388.54,601838409.8388541,TRUE,240.53439153439155,243,222.6,270,47.400000000000006
Andrena aculeata,45.8825,-117.549,4,169821501836.2804,16982150.18362804,TRUE,172.5,172.5,137.70000000000002,207.29999999999998,69.59999999999997
Andrena afimbriata,30.21,-97.114,5,176833451.8840313,17683.34518840313,TRUE,106.6,103,100.8,114,13.200000000000003
