genus,family,cuckoo,source
Anthophora,Apidae,no,
Anthophorula,Apidae,no,
Biastes,Apidae,yes,Michener 2000
Brachymelecta,Apidae,yes,Onuferko et al 2021
Brachynomada,Apidae,yes,Michener 2000
Centris,Apidae,no,
Ceratina,Apidae,no,
Diadasia,Apidae,no,
Ericrocis,Apidae,yes,Michener 2000
Eucera,Apidae,no,
Exomalopsis,Apidae,no,Michener 2000
Gaesischia,Apidae,no,
Habropoda,Apidae,no,
Hexepeolus,Apidae,yes,Michener 2000
Holcopasites,Apidae,yes,Michener 2000
Leiopodus,Apidae,yes,Michener 2000
Martinapis,Apidae,no,Michener 2000
Melecta,Apidae,yes,Michener 2000
Melissodes,Apidae,no,
Melissoptila,Apidae,no,
Neolarra,Apidae,yes,Michener 2000
Oreopasites,Apidae,yes,Michener 2000
Simanthedon,Apidae,no,Michener 2000
Svastra,Apidae,no,
Tetraloniella,Apidae,no,
Townsendiella,Apidae,yes,
Triopasites,Apidae,yes,Michener 2000
Xylocopa,Apidae,no,
Agapostemon,Halictidae,no,
Augochlora,Halictidae,no,
Augochlorella,Halictidae,no,
Augochloropsis,Halictidae,no,
Dieunomia,Halictidae,no,Michener 2000: 'these bee species are specialists on Asteraceae'
Dufourea,Halictidae,no,
Halictus,Halictidae,no,
Lasioglossum,Halictidae,no,
Micralictoides,Halictidae,no,
Nomia,Halictidae,no,
Pseudaugochlora,Halictidae,no,
Sphecodosoma,Halictidae,no,"Michener 2000: ""Specodosma subgenus Sphecodosma (sphecodosma s. str seems to be oligolectic on Nama')"
Anthidiellum,Megachilidae,no,
Anthidium,Megachilidae,no,Michener 2000
Ashmeadiella,Megachilidae,no,Michener 2000
Atoposmia,Megachilidae,no,Michener 2000
Dianthidium,Megachilidae,no,Michener 2000
Heriades,Megachilidae,no,Michener 2000
Hoplitis,Megachilidae,no,Michener 2000
Megachile,Megachilidae,no,Michener 2000
Osmia,Megachilidae,no,Michener 2000
Protosmia,Megachilidae,no,Michener 2000
Trachusa,Megachilidae,no,Michener 2000
