scientificName,host,host_rank,diet_breadth_detailed
Ancylandrena atoposoma,Fabaceae,family,family_specialist
Ancylandrena koebelei,Fabaceae,family,family_specialist
Ancylandrena larreae,Larrea,genus,genus_specialist
Ancylandrena rozeni,Fabaceae,family,family_specialist
Ancyloscelis sejunctus,Ipomoea,genus,genus_specialist
Andrena ablegata,Agoseris,genus,genus_specialist
Andrena afimbriata,Asteraceae,family,family_specialist
Andrena agoseridis,Agoseris,genus,genus_specialist
Andrena alamonis,Physaria,genus,genus_specialist
Andrena aliciae,Asteraceae,family,family_specialist
Andrena aliciarum,Asteraceae,family,family_specialist
Andrena anatolis,Camissonia,genus,genus_specialist
Andrena andrenoides,Salix,genus,genus_specialist
Andrena annectens,Salix,genus,genus_specialist
Andrena apacheorum,Asteraceae,family,family_specialist
Andrena apasta,Camissonia,genus,genus_specialist
Andrena arabis,Brassicaceae,family,family_specialist
Andrena arctostaphylae,Arctostaphylos,genus,genus_specialist
Andrena ardis,Asteraceae,family,family_specialist
Andrena arenicola,Salix,genus,genus_specialist
Andrena asteris,Asteraceae,family,family_specialist
Andrena asteroides,Symphyotrichum,genus,genus_specialist
Andrena aurihirta,Asteraceae,family,family_specialist
Andrena auripes,Asteraceae,family,family_specialist
Andrena baeriae,Lasthenia,genus,genus_specialist
Andrena balsamorhizae,Asteraceae,family,family_specialist
Andrena barberi,Asteraceae,family,family_specialist
Andrena beameri,Asteraceae,family,family_specialist
Andrena bendensis,Asteraceae,family,family_specialist
Andrena berberidis,Ribes,genus,genus_specialist
Andrena berkeleyi,Asteraceae,family,family_specialist
Andrena bernardina,Clarkia,genus,genus_specialist
Andrena birtwelli,Potentilla,genus,genus_specialist
Andrena bisalicis,Salix,genus,genus_specialist
Andrena biscutellata,Asteraceae,family,family_specialist
Andrena blaisdelli,Camissonia,genus,genus_specialist
Andrena blennospermatis,Asteraceae,family,family_specialist
Andrena bocensis,Asteraceae,family,family_specialist
Andrena boronensis,Camissonia,genus,genus_specialist
Andrena braccata,Asteraceae,family,family_specialist
Andrena bradleyi,Ericaceae,family,family_specialist
Andrena brooksi,Asteraceae,family,family_specialist
Andrena bucculenta,Salix,genus,genus_specialist
Andrena bullata,Asteraceae,family,family_specialist
Andrena caerulea,Ranunculus,genus,genus_specialist
Andrena caliginosa,Ribes,genus,genus_specialist
Andrena calvata,Asteraceae,family,family_specialist
Andrena camissoniae,Camissonia,genus,genus_specialist
Andrena canadensis,Asteraceae,family,family_specialist
Andrena capricornis,Brassicaceae,family,family_specialist
