scientificName,phylo_rich,phylo_simp,eigen1_plantGenus,eigen2_plantGenus,eigen1_plantFam,eigen2_plantFam,rich_genus,simpson_genus,rich_fam,simpson_fam,n_globi
Agapostemon angelicus,3643.8642469994,534.0915952669448,-0.11880136116471698,0.07595164952923855,-0.2183074805458306,0.06368319586995955,63,18.509250943057303,24,6.682729100460469,642
Agapostemon coloradinus,621.1781880002998,489.2748178366158,-0.04649425264672269,-0.050817718252611895,-0.2420040106881015,-0.1113767588055114,3,3,3,3,3
Agapostemon femoratus,812.8413959999999,454.27153234443716,0.22218668394656133,0.1254527904559765,-0.399392034656524,0.07541834799928766,10,6.4,4,1.7066666666666668,16
Agapostemon melliventris,3894.708980997704,532.6416221767906,-0.008462920294902304,0.11863329148667404,-0.24364682306930238,0.0743593563901738,58,21.659224441833132,30,7.856777493606139,192
Agapostemon nasutus,1330.5425450000007,522.4840225915219,-0.09155719873864782,0.1022902910520308,-0.08151120936767241,-0.10079251652333239,15,10.880597014925375,8,5.170212765957446,27
Agapostemon sericeus,1392.5846009999996,476.859228563763,0.29187086446062543,0.024328245782600948,-0.37168823586799526,0.04561711251835506,25,8.470588235294116,8,2.5067698259187616,72
Agapostemon splendens,7501.432415600299,510.0811446482049,0.21347763001949038,0.03393030145730846,-0.366639365613149,0.08577360298047733,153,28.582417582417605,58,3.6648778408843845,918
Agapostemon texanus,9273.286968999088,490.9990550075296,0.1518800039266846,0.0319821326359419,-0.3861151070938255,0.055226977240330655,210,38.706876184720215,58,2.4532949573145126,1187
Agapostemon virescens,7133.492437999996,512.7183646538391,0.30781455476099107,-0.036222950625019366,-0.3509639515518221,0.05160363472099731,152,39.74902631674728,48,3.59189211413535,1045
Ancylandrena atoposoma,390.70253999999994,390.70253999999983,-0.04469801165288717,0.10442894746360029,0.2120833599774709,-0.25278047879878185,1,1,1,1,3
Ancylandrena koebelei,390.70254,390.70254000000006,-0.06213623962164718,0.03687998981863538,0.43872546108607846,0.4452600290562582,1,1,1,1,2
Ancylandrena larreae,749.8262749999999,411.83561879454845,-0.16999825321353532,0.09121910456683212,0.26350141669990595,-0.21680780253390486,4,1.1958620689655173,4,1.1958620689655175,102
Ancylandrena rozeni,577.9505729999997,446.0565772267605,-0.12772544381729745,0.04724854520192219,0.4690551839508705,0.42661118125627273,3,2,2,1.3846153846153844,18
Ancylandrena timberlakei,390.70254,390.70254000000006,-0.062136239621647174,0.036879989818635196,0.43872546108607846,0.4452600290562583,1,1,1,1,2
Ancyloscelis apiformis,407.69458099999997,399.03261549157094,-0.038990179617296714,0.02672500782031375,0.22636407549256782,-0.2382565013576101,2,1.923076923076923,1,1,5
Ancyloscelis sejunctus,390.70254,390.70253999999994,-0.04708109504734181,0.030634750776046934,0.22636407549256787,-0.23825650135761023,1,1,1,1,1
Andrena accepta,1083.248912,415.4203358647008,0.2825958692849372,0.25982917037663866,-0.42538319215357645,0.009477926163326208,15,1.696407607419582,5,1.1558150695888656,85
Andrena aliciae,506.02951900000016,404.61357269175426,0.3441311323462946,0.2600737314471821,-0.4353117852545876,-0.016750333397251464,8,2.4681564245810055,1,1,47
Andrena alleghaniensis,2234.424079000299,487.7704218006876,0.016567468593132656,-0.17804989689737932,0.08583366636249465,-0.17059922305116018,25,3.2795568371528283,14,2.1092240117130308,147
Andrena amphibola,1428.3092000003003,516.6902435892064,0.07453302141942036,-0.1644281396831614,0.12146085183165893,0.41147381253354187,14,7.117647058823531,7,4.033333333333333,22
Andrena andrenoides,1147.4129740002998,423.1047947714672,-0.06913383938745163,-0.45656302974477864,0.25871340734652276,-0.28948375863155057,10,1.3554402311729672,6,1.3394212053753543,339
Andrena anisochlora,390.70254,390.70254000000006,-0.038082247626863235,-0.01929668360996217,0.22340936377117443,-0.2278592462397465,1,1,1,1,1
Andrena anograe,842.3645509999998,497.7887735351766,-0.12879341422097335,-0.10525742921611496,0.21363877026611905,-0.22500595691664557,5,3.2900302114803623,5,3.2900302114803623,33
Andrena arabis,2348.833120999399,433.1537671087197,-0.03313479810472558,-0.2125300146027932,0.2394587165048186,-0.297095741751127,29,1.9694570780007974,15,1.4069316656107782,984
Andrena arenicola,390.70253999999994,390.70253999999983,-0.06939704124987993,-0.4240320278060499,0.2571600977833142,-0.28423235717674544,1,1,1,1,62
Andrena asteris,861.380392,405.51188041059845,0.3648114830725207,0.006556113145594302,-0.43558111052826554,-0.015550073652721989,14,2.5055661006515155,4,1.1057755439335282,221
Andrena asteroides,390.70253999999994,390.70254000000006,0.03928406464702142,0.027950181048980952,-0.43531178525458747,-0.01675033339725147,2,2,1,1,2
