scientificName,phylo_rich,phylo_simp,eigen1_plantGenus,eigen2_plantGenus,eigen1_plantFam,eigen2_plantFam,rich_genus,simpson_genus,rich_fam,simpson_fam,n_globi
Agapostemon angelicus,3643.8642469994,534.091595266945,-0.118801361164717,0.0759516495292386,-0.218307480545831,0.0636831958699595,63,18.5092509430573,24,6.68272910046047,642
Agapostemon coloradinus,621.1781880003,489.274817836616,-0.0464942526467227,-0.0508177182526119,-0.242004010688102,-0.111376758805511,3,3,3,3,3
Agapostemon femoratus,812.841396,454.271532344437,0.222186683946561,0.125452790455976,-0.399392034656524,0.0754183479992877,10,6.4,4,1.70666666666667,16
Agapostemon melliventris,3894.7089809977,532.641622176791,-0.0084629202949023,0.118633291486674,-0.243646823069302,0.0743593563901738,58,21.6592244418331,30,7.85677749360614,192
Agapostemon nasutus,1330.542545,522.484022591522,-0.0915571987386478,0.102290291052031,-0.0815112093676724,-0.100792516523332,15,10.8805970149254,8,5.17021276595745,27
Agapostemon sericeus,1392.584601,476.859228563763,0.291870864460625,0.0243282457826009,-0.371688235867995,0.0456171125183551,25,8.47058823529412,8,2.50676982591876,72
Agapostemon splendens,7501.4324156003,510.081144648205,0.21347763001949,0.0339303014573085,-0.366639365613149,0.0857736029804773,153,28.5824175824176,58,3.66487784088438,918
Agapostemon texanus,9273.28696899909,490.99905500753,0.151880003926685,0.0319821326359419,-0.386115107093826,0.0552269772403306,210,38.7068761847202,58,2.45329495731451,1187
Agapostemon virescens,7133.492438,512.718364653839,0.307814554760991,-0.0362229506250194,-0.350963951551822,0.0516036347209973,152,39.7490263167473,48,3.59189211413535,1045
Ancylandrena atoposoma,390.70254,390.70254,-0.0446980116528872,0.1044289474636,0.212083359977471,-0.252780478798782,1,1,1,1,3
Ancylandrena koebelei,390.70254,390.70254,-0.0621362396216472,0.0368799898186354,0.438725461086078,0.445260029056258,1,1,1,1,2
Ancylandrena larreae,749.826275,411.835618794548,-0.169998253213535,0.0912191045668321,0.263501416699906,-0.216807802533905,4,1.19586206896552,4,1.19586206896552,102
Ancylandrena rozeni,577.950573,446.056577226761,-0.127725443817297,0.0472485452019222,0.46905518395087,0.426611181256273,3,2,2,1.38461538461538,18
Ancylandrena timberlakei,390.70254,390.70254,-0.0621362396216472,0.0368799898186352,0.438725461086078,0.445260029056258,1,1,1,1,2
Ancyloscelis apiformis,407.694581,399.032615491571,-0.0389901796172967,0.0267250078203137,0.226364075492568,-0.23825650135761,2,1.92307692307692,1,1,5
Ancyloscelis sejunctus,390.70254,390.70254,-0.0470810950473418,0.0306347507760469,0.226364075492568,-0.23825650135761,1,1,1,1,1
Andrena accepta,1083.248912,415.420335864701,0.282595869284937,0.259829170376639,-0.425383192153577,0.0094779261633262,15,1.69640760741958,5,1.15581506958887,85
Andrena aliciae,506.029519,404.613572691754,0.344131132346295,0.260073731447182,-0.435311785254588,-0.0167503333972515,8,2.46815642458101,1,1,47
Andrena alleghaniensis,2234.4240790003,487.770421800688,0.0165674685931326,-0.178049896897379,0.0858336663624946,-0.17059922305116,25,3.27955683715283,14,2.10922401171303,147
Andrena amphibola,1428.3092000003,516.690243589206,0.0745330214194204,-0.164428139683161,0.121460851831659,0.411473812533542,14,7.11764705882353,7,4.03333333333333,22
Andrena andrenoides,1147.4129740003,423.104794771467,-0.0691338393874516,-0.456563029744779,0.258713407346523,-0.289483758631551,10,1.35544023117297,6,1.33942120537535,339
Andrena anisochlora,390.70254,390.70254,-0.0380822476268632,-0.0192966836099622,0.223409363771174,-0.227859246239746,1,1,1,1,1
Andrena anograe,842.364551,497.788773535177,-0.128793414220973,-0.105257429216115,0.213638770266119,-0.225005956916646,5,3.29003021148036,5,3.29003021148036,33
Andrena arabis,2348.8331209994,433.15376710872,-0.0331347981047256,-0.212530014602793,0.239458716504819,-0.297095741751127,29,1.9694570780008,15,1.40693166561078,984
Andrena arenicola,390.70254,390.70254,-0.0693970412498799,-0.42403202780605,0.257160097783314,-0.284232357176745,1,1,1,1,62
Andrena asteris,861.380392,405.511880410599,0.364811483072521,0.0065561131455943,-0.435581110528266,-0.015550073652722,14,2.50556610065152,4,1.10577554393353,221
Andrena asteroides,390.70254,390.70254,0.0392840646470214,0.0279501810489809,-0.435311785254587,-0.0167503333972515,2,2,1,1,2
Andrena astragali,559.958205,421.516187685815,-0.039592428069349,0.00776523142668925,0.095162996950526,-0.191054514270926,3,1.8,2,1.20821917808219,42
Andrena atypica,390.70254,390.70254,-0.0407349416409344,0.0217073088941508,0.220977503512192,-0.222714696228552,1,1,1,1,1
Andrena auricoma,2287.37608,528.789633920917,-0.157709632914105,0.0133625005196763,0.124719218681781,-0.228038272577616,28,11.801724137931,17,7.22427440633245,74
Andrena banksi,814.017399,489.635886118351,-0.0185853901349802,-0.425333537592636,0.343785441935147,-0.0881789673578593,7,6.23076923076923,4,2.61290322580645,9
Andrena barbilabris,2566.246731,519.240799943707,-0.0353271225202149,-0.507722844911742,0.204761323942185,-0.278079789378098,29,7.37280701754386,15,3.74075104311544,164
Andrena beameri,390.70254,390.70254,-0.0167570591402358,0.0263332119795377,-0.435311785254587,-0.0167503333972514,1,1,1,1,1
