scientificName,source
Andrena wilkella,Russo 2016
Anthidium manicatum,Russo 2016
Anthidium oblongatum,Russo 2016
Anthophora villosula,Russo 2016
Apis mellifera,Russo 2016
Ceratina cobaltina,Russo 2016
Ceratina dallatorreana,Russo 2016
Chelostoma campanularum,Russo 2016
Coelioxys coturnix,Russo 2016
Euglossa dilemma,Russo 2016
Halictus tectus,Russo 2016
Heriades truncorum,Russo 2016
Hoplitis anthocopoides,Russo 2016
Hylaeus albonitens,Russo 2016
Hylaeus hyalinatus,Russo 2016
Hylaeus leptocephalus,Russo 2016
Hylaeus punctatus,Russo 2016
Hylaeus strenuus,Russo 2016
Hylaeus variegates,Russo 2016
Lasioglossum eleutherense,Russo 2016
Lasioglossum leucozonium,Russo 2016
Lasioglossum zonulum,Russo 2016
Lithurgus chrysurus,Russo 2016
Lithurgus scabrosus,Russo 2016
Megachile apicalis,Russo 2016
Megachile chlorura,Russo 2016
Megachile concinna,Russo 2016
Megachile ericetorum,Russo 2016
Megachile fullawayi,Russo 2016
Megachile lanata,Russo 2016
Megachile rotundata,Russo 2016
Megachile sculpturalis,Russo 2016
Osmia caerulescens,Russo 2016
Osmia cornifrons,Russo 2016
Osmia taurus,Russo 2016
Plebia frontalis,Russo 2016
Xylocopa appendiculata,Russo 2016
