scientificName,authority,status,host_plant,region
Andrena accepta,"Viereck, 1916",Rare,"Asteraceae: Grindelia Willd., Helianthus L.",east
Andrena aliciae,"Robertson, 1891",Rare,"Asteraceae: Bidens L., Helianthus L., Rudbeckia L., Silphium L., Solidago L., Symphyotrichum Nees",east
Andrena andrenoides,"(Cresson, 1878)",Rare,Salix L.,east
Andrena arabis,"Robertson, 1897",Uncommon,"Arabis L., Cardamine L.",east
Andrena asteris,"Robertson, 1891",Uncommon-Rare,"Eurybia (Cass.) Cass., Solidago L., Symphyotrichum Nees",east
Andrena asteroides,"Mitchell, 1960",Rare,Symphyotrichum Nees,east
Andrena bisalicis,"Viereck, 1908",Uncommon-Rare,Salix L.,east
Andrena braccata,"Viereck, 1907",Uncommon-Rare,"Euthamia Nutt. ex Cass., Solidago L.",east
Andrena bradleyi,"Viereck, 1907",Uncommon-Rare,"Ericaceae: Chamaedaphne Moench, Kalmia L., Vaccinium L.",east
Andrena canadensis,"Dalla Torre, 1896",Uncommon-Rare,"Asteraceae: Eurybia (Cass.) Cass., Grindelia Willd., Solidago L., Symphyotrichum Nees",east
Andrena carolina,"Viereck, 1909",Uncommon-Rare,"Ericaceae: Gaylussacia Kunth, Vaccinium L.",east
Andrena chromotricha,"Cockerell, 1899",Rare,"Asteraceae: Grindelia Willd., Helianthus L., Solidago L., Symphyotrichum Nees",east
Andrena clarkella,"(Kirby, 1802)",Uncommon,Salix L.,east
Andrena cornelli,"Viereck, 1907",Rare,Rhododendron L.,east
Andrena distans,"Provancher, 1888",Uncommon-Rare,Geranium L.,east
Andrena duplicata,"Mitchell, 1960",Rare,Asteraceae: Bidens L.,east
Andrena erigeniae,"Robertson, 1891",Common,Claytonia L.,east
Andrena erythrogaster,"(Ashmead, 1890)",Common-Uncommon,Salix L.,east
Andrena erythronii,"Robertson, 1891",Uncommon,Erythronium L.,east
Andrena fragilis,"Smith, 1853",Uncommon,Cornus (Swida) L.,east
Andrena frigida,"Smith, 1853",Uncommon,Salix L.,east
Andrena fulvipennis,"Smith, 1853",Rare,"Chrysopsis (Nutt.) Elliott, Heterotheca Cass., Pityopsis Nutt.",east
Andrena gardineri,"Cockerell, 1906",Rare,Packera Á. Löve & D. Löve,east
Andrena geranii,"Robertson, 1891",Uncommon,Hydrophyllum L.,east
Andrena helianthi,"Robertson, 1891",Uncommon-Rare,Helianthus L.,east
Andrena hirticincta,"Provancher, 1888",Common-Uncommon,"Euthamia Nutt.ex. Cass., Solidago L., Symphyotrichum Nees",east
Andrena illinoiensis,"Robertson, 1891",Rare,Salix L.,east
Andrena integra,"Smith, 1853",Uncommon,Cornus (Swida) L.,east
Andrena kalmiae,"Atwood, 1934",Rare,"Ericaceae: Kalmia L., Lyonia Nutt., Vaccinium L.",east
Andrena krigiana,"Robertson, 1901",Uncommon-Rare,"Cichorieae: Hieracium L., Krigia Schreb.",east
Andrena lamelliterga,"Ribble, 1968",Rare,Phacelia Juss.,east
Andrena macoupinensis,"Robertson, 1900",Uncommon-Rare,Salix L.,east
Andrena mariae,"Robertson, 1891",Common-Uncommon,Salix L.,east
Andrena melanochroa,"Cockerell, 1898",Uncommon-Rare,"Rosaceae: Fragaria  L., Potentilla L., Rubus L.",east
Andrena nida,"Mitchell, 1960",Rare,Salix L.,east
Andrena nigrae,"Robertson, 1905",Common-Uncommon,Salix L.,east
Andrena nothoscordi,"Robertson, 1897",Rare,Nothoscordum Kunth,east
Andrena nubecula,"Smith, 1853",Uncommon,"Euthamia Nutt. ex Cass., Solidago L., Symphyotrichum Nees",east
Andrena parnassiae,"Cockerell, 1902",Rare,Parnassia L.,east
Andrena persimulata,"Viereck, 1917",Uncommon-Rare,Cornus (Swida) L.,east
Andrena phaceliae,"Mitchell, 1960",Rare,Phacelia Juss.,east
Andrena placata,"Mitchell, 1960",Uncommon-Rare,"Asteraceae: Astereae: Eurybia (Cass.) Cass., Solidago L., Symphyotrichum Nees",east
Andrena platyparia,"Robertson, 1895",Uncommon-Rare,Cornus (Swida) L.,east
Andrena polemonii,"Robertson, 1891",Rare,Polemonium L.,east
Andrena rehni,"Viereck, 1907",Rare,Castanea Mill.,east
Andrena rudbeckiae,"Robertson, 1891",Uncommon-Rare,"Ratibida Raf., Rudbeckia L.",east
Andrena salictaria,"Robertson, 1905",Uncommon-Rare,Salix L.,east
Andrena sigmundi,"Cockerell, 1902",Uncommon-Rare,Salix L.,east
Andrena simplex,"Smith, 1853",Uncommon-Rare,"Eurybia (Cass.) Cass., Solidago L., Symphyotrichum Nees",east
Andrena uvulariae,"Mitchell, 1960",Rare,Uvularia L.,east
Andrena violae,"Robertson, 1891",Common-Uncommon,Viola L.,east
Andrena wellesleyana,"Robertson, 1897",Rare,Salix L.,east
Andrena ziziae,"Robertson, 1891",Common-Uncommon,Zizia W.D.J. Koch,east
Andrena ziziaeformis,"Cockerell, 1908",Uncommon-Rare,"Potentilla L., Waldsteinia Willd.",east
Calliopsis coloradensis,"Cresson, 1878",Uncommon-Rare,"Asteraceae: Chrysopsis (Nutt.) Elliott, Grindelia Willd., Solidago L., Symphyotrichum Nees",east
Calliopsis nebraskensis,"Crawford, 1902",Rare,Verbena L.,east
Panurginus atramontensis,"Crawford, 1926",Uncommon-Rare,Vaccinium (Polycodium) L.,east
Panurginus potentillae,"(Crawford, 1916)",Rare,Potentilla L.,east
Perdita albipennis,"Cresson, 1868",Rare,"Asteraceae: Grindelia Willd., Helianthus L., Heterotheca Cass., Rudbeckia L., Symphyotrichum Nees, Verbesina L.",east
Perdita bequaerti,"Viereck, 1917",Rare,"Asteraceae: Bidens L., Balduina Nutt., Helianthus L. [Physalis L.?]",east
