scientificName,host,host_family,host_rank,old_name,diet_breadth_detailed
Andrena hallii,Cryptantha,Boraginaceae,genus,Cryptantha,genus_specialist
Andrena personata,Rosaceae,Rosaceae,family,Rosaceae,family_specialist
Andrena quintilis,Amorpha,Fabaceae,genus,Amorpha,genus_specialist
Andrena tridens,Ribes,Grossulariaceae,genus,Ribes,genus_specialist
Andrena wilmattae,Dalea,Fabaceae,genus,Petalostemon,genus_specialist
Anthidium psoraleae,Fabaceae,Fabaceae,family,Fabaceae,family_specialist
Anthophora peritomae,Grindelia,Asteraceae,genus,Grindelia,genus_specialist
Anthophora terminalis,Lamiaceae,Lamiaceae,family,Lamiaceae,family_specialist
Augochloropsis metallica,Vaccinium,Ericaceae,genus,Vaccinium,genus_specialist
Calliopsis andreniformis,Trifolium,Fabaceae,genus,Trifolium,genus_specialist
Calliopsis hondurasica,Fabaceae,Fabaceae,family,Fabaceae,family_specialist
Centris decolorata,Miconia,Melastomataceae,genus,Miconia,genus_specialist
Colletes consors,Phacelia,Boraginaceae,genus,Phacelia,genus_specialist
Eucera speciosa,Oenothera,Onagraceae,genus,Oenothera,genus_specialist
Heriades variolosa,Asteraceae,Asteraceae,family,Asteraceae,family_specialist
Hesperapis oliviae,Asteraceae,Asteraceae,family,Asteraceae,family_specialist
Hylaeus annulatus,Rosaceae,Rosaceae,family,Rosaceae,family_specialist
Hylaeus basalis,Rosaceae,Rosaceae,family,Rosaceae,family_specialist
Hylaeus verticalis,Rosaceae,Rosaceae,family,Rosaceae,family_specialist
Lasioglossum nelumbonis,Nymphaeaceae,Nymphaeaceae,family,Nymphaeaceae,family_specialist
Lasioglossum oceanicum,Nymphaeaceae,Nymphaeaceae,family,Nymphaeaceae,family_specialist
Lasioglossum quebecense,Vaccinium,Ericaceae,genus,Vaccinium,genus_specialist
Megachile anograe,Opuntia,Cactaceae,genus,Opuntia,genus_specialist
Megachile brevis,Asteraceae,Asteraceae,family,Asteraceae,family_specialist
Megachile frigida,Salix,Salicaceae,genus,Salix,genus_specialist
Megachile lapponica,Onagraceae,Onagraceae,family,Onagraceae,family_specialist
Megachile mendica,Asteraceae,Asteraceae,family,Asteraceae,family_specialist
Megachile policaris,Helianthus,Asteraceae,genus,Helianthus,genus_specialist
Megachile sublaurita,Sphaeralcea,Malvaceae,genus,Sphaeralcea,genus_specialist
Osmia albolateralis,Fabaceae,Fabaceae,family,Fabaceae,family_specialist
Osmia georgica,Asteraceae,Asteraceae,family,Asteraceae,family_specialist
Osmia iridis,Fabaceae,Fabaceae,family,Fabaceae,family_specialist
Osmia pentstemonis,Penstemon,Plantaginaceae,genus,Penstemon,genus_specialist
Perdita amoena,Asteraceae,Asteraceae,family,Asteraceae,family_specialist
Perdita duplonotata,Liliaceae,Liliaceae,family,Liliaceae,family_specialist
Perdita moabensis,Asteraceae,Asteraceae,family,Asteraceae,family_specialist
Perdita morula,Brassicaceae,Brassicaceae,family,Brassicaceae,family_specialist
Perdita pectidis,Asteraceae,Asteraceae,family,Asteraceae,family_specialist
Perdita sexmaculata,Solanaceae,Solanaceae,family,Solanaceae,family_specialist
Protandrena mexicanorum,Solanum,Solanaceae,genus,Solanum,genus_specialist
Protoxaea gloriosa,Kallstroemia,Zygophyllaceae,genus,Kallstroemia,genus_specialist
Svastra atripes,Chamaecrista,Fabaceae,genus,Chamaecrista,genus_specialist
